"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Date","Field_Collection_Time","Field_Collection_Date_Time","Field_Collection_Comment","Matrix","Source","Depth_Value","Depth_Value_Units","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Method","Result_Method_Description","Result_Comment","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Record_Created_On","Continuous_Result_System_ID"
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD005","BUD005","BUD005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","11/30/2009",17:49:23,11/30/2009 5:49:23 PM,"","Water","Salt/Marine Water",7,"m","Temperature, water","10.4341","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",47.0920388567478,-122.918214865058,,11/13/2025 8:00:56 PM,260450465
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/14/2009",22:05:03,9/14/2009 10:05:03 PM,"","Water","Salt/Marine Water",1,"m","Temperature, water","12.3186","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,11/13/2025 8:00:56 PM,260442892
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","03/17/2010",20:58:47,3/17/2010 8:58:47 PM,"","Water","Salt/Marine Water",14,"m","Temperature, water","8.7292","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,11/12/2025 8:22:47 PM,259846006
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/03/2014",21:34:12,9/3/2014 9:34:12 PM,"","Water","Salt/Marine Water",3.5,"m","Temperature, water","12.8585996627808","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,5/31/2025 8:01:17 PM,235432928
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","SEQ002","SEQ002","SEQ002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","10/02/2014",22:13:38,10/2/2014 10:13:38 PM,"","Water","Salt/Marine Water",29.5,"m","Temperature, water","10.7469997406006","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0767055655284,-123.016715117312,,5/31/2025 8:01:17 PM,235439439
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","DIS001","DIS001","DIS001","SBE 19","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","05/08/2000",22:17:32,5/8/2000 10:17:32 PM,"","Water","Salt/Marine Water",9.5,"m","Temperature, water","10.190299987793","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0181555814919,-122.84796507615,,6/1/2025 8:00:40 PM,235975681
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","DIS001","DIS001","DIS001","SBE 19","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/12/2000",22:24:28,9/12/2000 10:24:28 PM,"","Water","Salt/Marine Water",26.5,"m","Temperature, water","9.73330020904541","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0181555814919,-122.84796507615,,6/1/2025 8:00:40 PM,235985459
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","SEQ002","SEQ002","SEQ002","SBE 19","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","09/12/2000",23:02:27,9/12/2000 11:02:27 PM,"","Water","Salt/Marine Water",8,"m","Temperature, water","11.3477001190186","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0767055655284,-123.016715117312,,6/1/2025 8:00:40 PM,235985499
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","DIS001","DIS001","DIS001","SBE 19","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","11/15/2000",21:40:48,11/15/2000 9:40:48 PM,"","Water","Salt/Marine Water",14.5,"m","Temperature, water","8.95950031280518","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0181555814919,-122.84796507615,,6/1/2025 8:00:40 PM,235993951
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","PTH005","PTH005","PTH005","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time","06/05/2006",18:08:05,6/5/2006 6:08:05 PM,"","Water","Salt/Marine Water",1.5,"m","Temperature, water","11.3870000839233","deg C","","TEMP-THERMISTOR","Temperature by thermistor","Loaded by stba, 4/4/2016 4:26:57 PM","Final",48.0833355941599,-122.763315078905,,6/3/2025 8:01:03 PM,236964886
