"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Start_Date_Time","Field_Collection_End_Date_Time","Field_Collection_Comment","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Matrix","Source","Reslt_Parameter_Name","Result_Value","Result_Unit","Result_Data_Qualifier","Result_Comment","Derivation_Method","Derivation_Method_Description","Result_Data_Review_Status","Base_Parameter_Name","Base_Result_Method","Base_Result_Method_Description","Time_Basis","Statistical_Basis","Partial_Metric_Flag","Auto_Calculated_Flag","Sample_Size","Expected_Data_Percent","Data_Qualified_Flag","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Calculated_Land_Surface_Elevation_NAVD88_FT","Record_Created_On","Calculated_Result_System_ID"
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",8/8/2019 10:15:22 PM,8/8/2019 10:15:22 PM,"","Water Surface",1,11.5,"m","Water","Salt/Marine Water","Temperature, water (profile maximum)","16.7464","deg C","","","DeploymentMaximum","Calculated maximum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Maximum","","Y",22,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986299102
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",8/8/2019 10:15:44 PM,8/8/2019 10:15:44 PM,"","Water Surface",1,11.5,"m","Water","Salt/Marine Water","Temperature, water (profile minimum)","15.4718","deg C","","","DeploymentMinimum","Calculated minimum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Minimum","","Y",22,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986294340
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",10/7/2019 11:08:13 PM,10/7/2019 11:08:13 PM,"","Water Surface",1,13,"m","Water","Salt/Marine Water","Temperature, water (profile maximum)","14.5198","deg C","","","DeploymentMaximum","Calculated maximum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Maximum","","Y",25,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986305949
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",10/7/2019 11:08:38 PM,10/7/2019 11:08:38 PM,"","Water Surface",1,13,"m","Water","Salt/Marine Water","Temperature, water (profile minimum)","14.2912","deg C","","","DeploymentMinimum","Calculated minimum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Minimum","","Y",25,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986298510
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",9/9/2019 11:08:21 PM,9/9/2019 11:08:21 PM,"","Water Surface",1,13,"m","Water","Salt/Marine Water","Temperature, water (profile maximum)","15.919","deg C","","","DeploymentMaximum","Calculated maximum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Maximum","","Y",25,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986303855
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",9/9/2019 11:08:43 PM,9/9/2019 11:08:43 PM,"","Water Surface",1,13,"m","Water","Salt/Marine Water","Temperature, water (profile minimum)","15.6284","deg C","","","DeploymentMinimum","Calculated minimum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Minimum","","Y",25,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986302117
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",7/12/2019 9:45:35 PM,7/12/2019 9:45:35 PM,"","Water Surface",1,12,"m","Water","Salt/Marine Water","Temperature, water (profile maximum)","16.0982","deg C","","","DeploymentMaximum","Calculated maximum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Maximum","","Y",23,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986298898
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",7/12/2019 9:45:58 PM,7/12/2019 9:45:58 PM,"","Water Surface",1,12,"m","Water","Salt/Marine Water","Temperature, water (profile minimum)","14.119","deg C","","","DeploymentMinimum","Calculated minimum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Minimum","","Y",23,,"N",47.0514905259256,-122.906264853786,,6/15/2025 9:25:05 PM,1986294136
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",11/10/2014 5:26:45 PM,11/10/2014 5:26:45 PM,"","Water Surface",1,13.5,"m","Water","Salt/Marine Water","Temperature, water (profile maximum)","12.9985","deg C","","","DeploymentMaximum","Calculated maximum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Maximum","","Y",26,,"N",47.0514905259256,-122.906264853786,,5/31/2025 8:42:32 PM,1980061649
"MarineWater","Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).","BUD002","BUD002","BUD002","SBE 3","Measurement","WA Dept of Ecology","UTC - Coordinated Universal Time",11/10/2014 5:26:12 PM,11/10/2014 5:26:12 PM,"","Water Surface",1,13.5,"m","Water","Salt/Marine Water","Temperature, water (profile minimum)","12.7812","deg C","","","DeploymentMinimum","Calculated minimum value from a dataset created by an instrument deployment.","Final","Temperature, water","TEMP-THERMISTOR","Temperature by thermistor","","Minimum","","Y",26,,"N",47.0514905259256,-122.906264853786,,5/31/2025 8:42:32 PM,1980049840
