,Program,Site,Date,Category,Genus,Species,Abundance,Cell.Per.Liter,Water.Source,Perc.Large,Perc.Small,Perc.Species,Comments
1,SoundToxins,Quartermaster Harbor - Dockton,2/18/24 12:00,Dinoflagellate,Dinophysis,sp.,Present,9,Net Tow,NA,NA,NA,
2,SoundToxins,Budd Inlet- Port Plaza,2/14/24 9:45,Dinoflagellate,Dinophysis,acuta,,NA,,NA,NA,12,
3,SoundToxins,Budd Inlet- Port Plaza,2/14/24 9:45,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,25,
4,SoundToxins,Budd Inlet- Port Plaza,2/14/24 9:45,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,38,
5,SoundToxins,Budd Inlet- Port Plaza,2/14/24 9:45,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,25,
6,SoundToxins,Budd Inlet- Port Plaza,2/14/24 9:45,Dinoflagellate,Dinophysis,spp.,Present,48,Net Tow,NA,NA,NA,Some D. rotundata!
7,SoundToxins,Liberty Bay,2/13/24 9:30,Dinoflagellate,Dinophysis,spp.,Present,28,Net Tow,NA,NA,NA,
8,SoundToxins,Liberty Bay,2/13/24 9:30,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,34,
9,SoundToxins,Liberty Bay,2/13/24 9:30,Dinoflagellate,Dinophysis,acuta,,NA,,NA,NA,66,
10,SoundToxins,Sequim Bay,2/12/24 12:30,Dinoflagellate,Dinophysis,sp.,Absent,NA,,NA,NA,NA,
11,SoundToxins,Quartermaster Harbor - Dockton,2/4/24 10:45,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
12,SoundToxins,Budd Inlet- Port Plaza,2/2/24 9:00,Dinoflagellate,Dinophysis,spp.,Present,24,Net Tow,NA,NA,NA,
13,SoundToxins,Budd Inlet- Port Plaza,2/2/24 9:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,25,
14,SoundToxins,Budd Inlet- Port Plaza,2/2/24 9:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,50,
15,SoundToxins,Budd Inlet- Port Plaza,2/2/24 9:00,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,25,
16,SoundToxins,Liberty Bay,1/30/24 9:30,Dinoflagellate,Dinophysis,,Absent,NA,,NA,NA,NA,
17,SoundToxins,Sequim Bay,1/22/24 14:45,Dinoflagellate,Dinophysis,,,NA,,NA,NA,NA,
18,SoundToxins,Quartermaster Harbor - Dockton,1/21/24 11:00,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
19,SoundToxins,Budd Inlet- Port Plaza,1/20/24 11:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,100,
20,SoundToxins,Budd Inlet- Port Plaza,1/20/24 11:15,Dinoflagellate,Dinophysis,sp.,Present,24,Net Tow,NA,NA,NA,Hearthfire - 24 cells/L; Port Plaza - 6 cells/L. All D. fortii.
21,SoundToxins,Sequim Bay,1/8/24 10:45,Dinoflagellate,Dinophysis,sp.,Absent,NA,,NA,NA,NA,
22,SoundToxins,Quartermaster Harbor - Dockton,1/7/24 12:30,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
23,SoundToxins,Budd Inlet- Port Plaza,1/5/24 11:15,Dinoflagellate,Dinophysis,sp.,Present,24,Net Tow,NA,NA,NA,
24,SoundToxins,Budd Inlet- Port Plaza,1/5/24 11:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,100,
25,SoundToxins,Liberty Bay,1/2/24 9:30,Dinoflagellate,Dinophysis,,Absent,NA,,NA,NA,NA,
26,SoundToxins,Sequim Bay,12/27/23 14:30,Dinoflagellate,Dinophysis,sp.,Absent,NA,,NA,NA,NA,
27,SoundToxins,Quartermaster Harbor - Dockton,12/27/23 12:15,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
28,SoundToxins,Budd Inlet- Port Plaza,12/22/23 11:15,Dinoflagellate,Dinophysis,acuta,,NA,,NA,NA,1,
29,SoundToxins,Budd Inlet- Port Plaza,12/22/23 11:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,73,
30,SoundToxins,Budd Inlet- Port Plaza,12/22/23 11:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,13,
31,SoundToxins,Budd Inlet- Port Plaza,12/22/23 11:15,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,13,
32,SoundToxins,Budd Inlet- Port Plaza,12/22/23 11:15,Dinoflagellate,Dinophysis,spp.,Common,470,Net Tow,NA,NA,NA,Eld Inlet closed to DSP this week.
33,SoundToxins,Liberty Bay,12/19/23 9:30,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,50,
34,SoundToxins,Liberty Bay,12/19/23 9:30,Dinoflagellate,Dinophysis,parva,,NA,,NA,NA,50,
35,SoundToxins,Liberty Bay,12/19/23 9:30,Dinoflagellate,Dinophysis,spp.,Present,10,Net Tow,NA,NA,NA,
36,SoundToxins,Sequim Bay,12/11/23 15:30,Dinoflagellate,Dinophysis,sp.,Absent,NA,,NA,NA,NA,
37,SoundToxins,Quartermaster Harbor - Dockton,12/11/23 12:30,Dinoflagellate,Dinophysis,sp.,Present,6,Net Tow,NA,NA,NA,
38,SoundToxins,Budd Inlet- Port Plaza,12/8/23 12:15,Dinoflagellate,Dinophysis,norvegica,,NA,,NA,NA,12,
39,SoundToxins,Budd Inlet- Port Plaza,12/8/23 12:15,Dinoflagellate,Dinophysis,spp.,Present,577,Net Tow,NA,NA,NA,
40,SoundToxins,Budd Inlet- Port Plaza,12/8/23 12:15,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,32,
41,SoundToxins,Budd Inlet- Port Plaza,12/8/23 12:15,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,56,
42,SoundToxins,Liberty Bay,12/7/23 11:30,Dinoflagellate,Dinophysis,,Absent,NA,,NA,NA,NA,
43,SoundToxins,Quartermaster Harbor - Dockton,11/27/23 15:00,Dinoflagellate,Dinophysis,sp.,Present,9,Net Tow,NA,NA,NA,
44,SoundToxins,Budd Inlet- Port Plaza,11/26/23 13:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,67,
45,SoundToxins,Budd Inlet- Port Plaza,11/26/23 13:00,Dinoflagellate,Dinophysis,rotundata,,NA,,NA,NA,33,
46,SoundToxins,Budd Inlet- Port Plaza,11/26/23 13:00,Dinoflagellate,Dinophysis,spp.,Present,18,Net Tow,NA,NA,NA,
47,SoundToxins,Sequim Bay,11/21/23 11:45,Dinoflagellate,Dinophysis,spp.,Present,37,Net Tow,NA,NA,NA,
48,SoundToxins,Sequim Bay,11/21/23 11:45,Dinoflagellate,Dinophysis,acuminata,Present,NA,,NA,NA,67,
49,SoundToxins,Sequim Bay,11/21/23 11:45,Dinoflagellate,Dinophysis,fortii,Present,NA,,NA,NA,33,
50,SoundToxins,Quartermaster Harbor - Dockton,11/20/23 13:00,Dinoflagellate,Dinophysis,spp.,Absent,NA,,NA,NA,NA,
51,SoundToxins,Budd Inlet- Port Plaza,11/16/23 16:00,Dinoflagellate,Dinophysis,fortii,,NA,,NA,NA,62,
52,SoundToxins,Budd Inlet- Port Plaza,11/16/23 16:00,Dinoflagellate,Dinophysis,acuminata,,NA,,NA,NA,38,
53,SoundToxins,Budd Inlet- Port Plaza,11/16/23 16:00,Dinoflagellate,Dinophysis,spp.,Present,125,Net Tow,NA,NA,NA,"Count is 387 cells/L at Hearthfire dock (49% D. acuminata, 46% D. fortii, 2% norvegica, 2% odiosa, 1% parva)."
54,SoundToxins,Quartermaster Harbor - Dockton,11/13/23 13:00,Dinoflagellate,Dinophysis,,,NA,,NA,NA,NA,
55,SoundToxins,Sequim Bay,11/9/23 11:00,Dinoflagellate,Dinophysis,sp.,Absent,NA,,NA,NA,NA,
56,SoundToxins,Budd Inlet- Port Plaza,11/8/23 12:00,Dinoflagellate,Dinophysis,spp.,Bloom,5024,Net Tow,NA,NA,NA,"Collected 3-m net tow at Hearthfire dock just a short distance to the north. Dinophysis counts were 17,922 cells/lL. (25% D. acuminata, 72% D. fortii, 2% D. norvegica, .3% D. odiosa, .7% D. parva."
