NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: BUDD INLET, SOUTH OF GULL HARBOR 
State: WA 
Stationid: 9446807
Prediction Type: Harmonic
From: 20210901 00:00 - 20210930 23:00
Units: Metric
Time Zone: GMT
Datum: MTL
Interval Type: Hourly

Date 		Day	Time	Pred	
2021/09/01	Wed	00:00	0.54	
2021/09/01	Wed	01:00	0.35	
2021/09/01	Wed	02:00	0.19	
2021/09/01	Wed	03:00	0.14	
2021/09/01	Wed	04:00	0.29	
2021/09/01	Wed	05:00	0.54	
2021/09/01	Wed	06:00	0.75	
2021/09/01	Wed	07:00	0.90	
2021/09/01	Wed	08:00	0.94	
2021/09/01	Wed	09:00	0.79	
2021/09/01	Wed	10:00	0.39	
2021/09/01	Wed	11:00	-0.20	
2021/09/01	Wed	12:00	-0.83	
2021/09/01	Wed	13:00	-1.39	
2021/09/01	Wed	14:00	-1.83	
2021/09/01	Wed	15:00	-2.07	
2021/09/01	Wed	16:00	-1.96	
2021/09/01	Wed	17:00	-1.52	
2021/09/01	Wed	18:00	-0.90	
2021/09/01	Wed	19:00	-0.22	
2021/09/01	Wed	20:00	0.43	
2021/09/01	Wed	21:00	0.94	
2021/09/01	Wed	22:00	1.18	
2021/09/01	Wed	23:00	1.16	
2021/09/02	Thu	00:00	0.97	
2021/09/02	Thu	01:00	0.73	
2021/09/02	Thu	02:00	0.47	
2021/09/02	Thu	03:00	0.21	
2021/09/02	Thu	04:00	0.09	
2021/09/02	Thu	05:00	0.18	
2021/09/02	Thu	06:00	0.41	
2021/09/02	Thu	07:00	0.65	
2021/09/02	Thu	08:00	0.84	
2021/09/02	Thu	09:00	0.93	
2021/09/02	Thu	10:00	0.79	
2021/09/02	Thu	11:00	0.38	
2021/09/02	Thu	12:00	-0.23	
2021/09/02	Thu	13:00	-0.89	
2021/09/02	Thu	14:00	-1.49	
2021/09/02	Thu	15:00	-1.99	
2021/09/02	Thu	16:00	-2.25	
2021/09/02	Thu	17:00	-2.11	
2021/09/02	Thu	18:00	-1.60	
2021/09/02	Thu	19:00	-0.90	
2021/09/02	Thu	20:00	-0.14	
2021/09/02	Thu	21:00	0.59	
2021/09/02	Thu	22:00	1.14	
2021/09/02	Thu	23:00	1.38	
2021/09/03	Fri	00:00	1.32	
2021/09/03	Fri	01:00	1.09	
2021/09/03	Fri	02:00	0.77	
2021/09/03	Fri	03:00	0.40	
2021/09/03	Fri	04:00	0.06	
2021/09/03	Fri	05:00	-0.09	
2021/09/03	Fri	06:00	0.03	
2021/09/03	Fri	07:00	0.31	
2021/09/03	Fri	08:00	0.63	
2021/09/03	Fri	09:00	0.90	
2021/09/03	Fri	10:00	1.02	
2021/09/03	Fri	11:00	0.87	
2021/09/03	Fri	12:00	0.40	
2021/09/03	Fri	13:00	-0.27	
2021/09/03	Fri	14:00	-0.99	
2021/09/03	Fri	15:00	-1.66	
2021/09/03	Fri	16:00	-2.20	
2021/09/03	Fri	17:00	-2.44	
2021/09/03	Fri	18:00	-2.21	
2021/09/03	Fri	19:00	-1.59	
2021/09/03	Fri	20:00	-0.78	
2021/09/03	Fri	21:00	0.07	
2021/09/03	Fri	22:00	0.84	
2021/09/03	Fri	23:00	1.37	
2021/09/04	Sat	00:00	1.54	
2021/09/04	Sat	01:00	1.40	
2021/09/04	Sat	02:00	1.07	
2021/09/04	Sat	03:00	0.65	
2021/09/04	Sat	04:00	0.18	
2021/09/04	Sat	05:00	-0.21	
2021/09/04	Sat	06:00	-0.32	
2021/09/04	Sat	07:00	-0.10	
2021/09/04	Sat	08:00	0.30	
2021/09/04	Sat	09:00	0.73	
2021/09/04	Sat	10:00	1.06	
2021/09/04	Sat	11:00	1.17	
2021/09/04	Sat	12:00	0.95	
2021/09/04	Sat	13:00	0.39	
2021/09/04	Sat	14:00	-0.37	
2021/09/04	Sat	15:00	-1.17	
2021/09/04	Sat	16:00	-1.90	
2021/09/04	Sat	17:00	-2.44	
2021/09/04	Sat	18:00	-2.59	
2021/09/04	Sat	19:00	-2.22	
2021/09/04	Sat	20:00	-1.45	
2021/09/04	Sat	21:00	-0.51	
2021/09/04	Sat	22:00	0.40	
2021/09/04	Sat	23:00	1.15	
2021/09/05	Sun	00:00	1.58	
2021/09/05	Sun	01:00	1.63	
2021/09/05	Sun	02:00	1.36	
2021/09/05	Sun	03:00	0.91	
2021/09/05	Sun	04:00	0.37	
2021/09/05	Sun	05:00	-0.17	
2021/09/05	Sun	06:00	-0.54	
2021/09/05	Sun	07:00	-0.53	
2021/09/05	Sun	08:00	-0.15	
2021/09/05	Sun	09:00	0.40	
2021/09/05	Sun	10:00	0.92	
2021/09/05	Sun	11:00	1.27	
2021/09/05	Sun	12:00	1.32	
2021/09/05	Sun	13:00	0.99	
2021/09/05	Sun	14:00	0.31	
2021/09/05	Sun	15:00	-0.55	
2021/09/05	Sun	16:00	-1.41	
2021/09/05	Sun	17:00	-2.16	
2021/09/05	Sun	18:00	-2.64	
2021/09/05	Sun	19:00	-2.63	
2021/09/05	Sun	20:00	-2.07	
2021/09/05	Sun	21:00	-1.13	
2021/09/05	Sun	22:00	-0.11	
2021/09/05	Sun	23:00	0.80	
2021/09/06	Mon	00:00	1.46	
2021/09/06	Mon	01:00	1.74	
2021/09/06	Mon	02:00	1.62	
2021/09/06	Mon	03:00	1.19	
2021/09/06	Mon	04:00	0.60	
2021/09/06	Mon	05:00	-0.03	
2021/09/06	Mon	06:00	-0.59	
2021/09/06	Mon	07:00	-0.87	
2021/09/06	Mon	08:00	-0.69	
2021/09/06	Mon	09:00	-0.11	
