Date,Station Number,Lat,Long,Depth,Calculated Chlorophyll,Calculated Oxygen,Salinity,Temperature,Optical Backscatter,Calculated SPM,Measured Extinction Coefficient,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate,IFCB
MM/DD/YYYY,,,,[meters],[mg/m3],[mg/L],[psu],[。],[volts],[mg/L],[per meter],[然],[然],[然],[然],[然],
7/31/17,36,37.467500,-122.066667,2,3.1,6.5,24.2,22.28,2.3,126,3.69,2.08,38.1,11.85,10.01,106.68,D20170731T145700_IFCB113
7/31/17,35,37.468889,-122.068611,2,2.9,6.6,24.6,22.19,1.78,98,2.95,,,,,,
7/31/17,34,37.484722,-122.085833,2,2.5,6.6,24.81,22.06,1.09,59,1.82,,,,,,
7/31/17,33,37.501389,-122.117500,2,2.3,6.7,25.08,21.94,0.88,47,1.59,,,,,,
7/31/17,32,37.516944,-122.133333,2,2.3,6.6,25.23,21.98,0.79,42,1.77,1.35,25.62,11.07,7.07,91.54,D20170731T153836_IFCB113
7/31/17,31,37.518611,-122.151389,2,2,6.6,25.18,21.82,0.47,23,1.27,,,,,,
7/31/17,30,37.550833,-122.184444,2,1.5,6.6,25.67,21.4,0.43,21,1.25,1.24,23.85,12.35,6.52,83.88,
7/31/17,29.5,37.566944,-122.216944,2,1.8,6.7,25.85,21.27,0.26,12,0.72,,,,,,
7/31/17,29,37.568889,-122.235278,2,2.2,6.8,26.42,21.15,0.21,9,0.54,,,,,,
7/31/17,28,37.600278,-122.267222,2,2.1,6.9,26.51,20.91,0.2,8,0.48,,,,,,
7/31/17,27,37.616944,-122.284722,2,2.5,7,26.58,20.87,0.16,6,0.46,1.01,20.13,8.78,5.68,70.4,D20170731T163736_IFCB113
7/31/17,26,37.633889,-122.302222,2,2.7,7,26.93,20.71,0.12,4,0.54,,,,,,
7/31/17,25,37.667222,-122.318056,2,3.2,7.1,27.95,19.59,0.1,3,0.41,,,,,,
7/31/17,24,37.685833,-122.334167,2,6.1,7.1,28.82,18.67,0.11,3,0.39,1.11,20.78,6.93,3.81,58.25,
7/31/17,23,37.718611,-122.333889,2,10.8,7.2,28.89,18.52,0.11,3,0.65,,,,,,
7/31/17,22,37.752500,-122.351389,2,6,7.3,29.45,17.66,0.11,3,0.45,0.94,16.99,9.64,2.8,46.77,D20170731T173124_IFCB113
7/31/17,21,37.784167,-122.351389,2,4.9,7.2,29.34,18.06,0.13,4,0.37,,,,,,
7/31/17,20,37.817222,-122.385000,2,5.1,7.4,29.25,17.46,0.14,5,0.61,,,,,,
7/31/17,18,37.835556,-122.417500,2,1.9,7.6,29.46,16.97,0.16,6,0.64,0.74,17.21,8.28,2.45,43.94,D20170731T180731_IFCB113
8/22/17,34,37.484722,-122.085833,2,6.5,5.1,24.04,22.41,13.68,693,,4.26,82.1,11.28,14.04,133.31,D20170822T140529_IFCB113
8/22/17,33,37.501389,-122.117500,2,4.1,5.7,24.99,22.41,4.64,229,7.16,,,,,,
8/22/17,32,37.516944,-122.133333,2,3.5,5.7,25.55,22.29,1.88,87,4.02,2.64,54.4,9.92,11.07,120.16,D20170822T145249_IFCB113
8/22/17,31,37.518611,-122.151389,2,3.2,6.2,26.1,22.23,1.35,59,2.76,,,,,,
8/22/17,30,37.550833,-122.184444,2,3.2,6.3,26.45,22.14,1.86,86,3.65,1.41,36.13,9.92,8.01,102.69,
8/22/17,29,37.568889,-122.235278,2,2.7,6.3,26.86,21.91,1.12,48,2.69,,,,,,
8/22/17,28,37.600278,-122.267222,2,2.5,6.3,27.06,21.71,1.32,58,2.95,,,,,,
8/22/17,27,37.616944,-122.284722,2,2.2,6.4,27.23,21.48,0.79,31,2.01,1.51,32.27,13.28,7.3,96.2,D20170822T155531_IFCB113
8/22/17,26,37.633889,-122.302222,2,2.3,6.6,27.57,21.14,0.49,16,1.44,,,,,,
8/22/17,25,37.667222,-122.318056,2,3.5,6.7,28.04,20.69,0.4,11,1.21,,,,,,
8/22/17,24,37.685833,-122.334167,2,3.7,6.8,28.92,19.92,0.52,17,1.42,1.4,27.34,7.85,4.71,73.4,
8/22/17,23,37.718611,-122.333889,2,3.3,6.7,28.72,20.05,0.33,7,0.86,,,,,,
8/22/17,22,37.752500,-122.351389,2,3.6,6.8,29.88,18.33,1.05,44,2.52,1.33,21.13,10.42,3.33,53.92,D20170822T170153_IFCB113
8/22/17,21,37.784167,-122.351389,2,3.5,7,29.73,18.21,0.46,14,1.33,,,,,,
8/22/17,20,37.817222,-122.385000,2,3.2,7,30.39,17.5,0.4,11,1.06,,,,,,
8/22/17,18,37.835556,-122.417500,2,3.1,7.2,30.73,17.16,0.19,1,0.63,0.86,13.99,8.5,2.19,37.78,D20170822T174357_IFCB113
8/22/17,17,37.868611,-122.417500,2,3.2,7.1,29.49,17.57,0.3,6,0.93,,,,,,
8/22/17,16,37.916667,-122.435556,2,2.1,7.2,26.39,18.87,0.35,8,1.15,,,,,,
8/22/17,15,37.967778,-122.433889,2,2.4,7.2,24.94,19.16,0.47,14,1.2,0.8,17.63,7.92,2.89,69.9,
8/22/17,14,38.001111,-122.400833,2,2.9,7.2,24.53,19.3,0.48,15,1.25,,,,,,
8/22/17,13,38.018611,-122.367222,2,3.7,7.6,22.73,20.06,0.51,16,1.18,0.71,18.63,6.57,2.93,78.06,
8/22/17,12,38.050278,-122.301944,2,2.9,7.5,17.89,20.07,0.5,16,1.86,,,,,,
