"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-01","2.6",,"0.0","0.0","0.0","11.3","17.2","3.3","  240","  250","7.2","9.4",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-02","1.6",,"0.0","0.0","0.0","9.9","17.8","1.7","  290","  100","5.4","6.3",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-03","3.0",,"2.0","0.0","0.0","10.5","13.9","6.7","  210","  220","5.8","7.2","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-04","1.3",,"0.0","0.0","0.0","11.6","17.8","5.6","  320","  280","4.5","7.2","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-05","2.3",,"0.0","0.0","0.0","11.8","21.7","3.3","   20","   30","6.3","7.6","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-06","3.1",,"2.8","0.0","0.0","13.3","18.3","6.1","  240","  250","8.1","12.5","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-07","4.3",,"12.2","0.0","0.0","9.2","13.9","5.6","  290","  280","9.8","14.3","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-08","2.9",,"0.0","0.0","0.0","8.5","12.2","3.9","  190","  210","6.3","8.5",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-09","1.2",,"0.0","0.0","0.0","11.2","18.3","8.3","   10","   10","5.4","6.3","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-10","1.8",,"0.0","0.0","0.0","12.4","20.0","5.0","  320","  320","5.8","7.2","    1",,,,"    1"
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-11","1.8",,"0.0","0.0","0.0","12.6","22.2","2.8","  340","  330","5.8","7.6","    1","    1",,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-12","1.9",,"0.0","0.0","0.0","15.6","22.8","8.9","   30","   30","5.8","6.7",,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-13","2.1",,"0.0","0.0","0.0","14.5","23.3","5.6","  360","   80","6.3","8.5","    1","    1",,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-14","1.9",,"0.0","0.0","0.0","14.9","25.0","4.4","   10","  350","5.8","7.6","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-15","1.4",,"0.0","0.0","0.0","14.3","25.0","5.0","   10","   60","4.5","7.2","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-16","2.1",,"0.0","0.0","0.0","15.5","26.1","5.6","  220","   10","5.4","7.6","    1","    1",,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-17","4.5",,"1.0","0.0","0.0","13.7","16.1","7.8","  210","  220","8.9","15.7","    1",,,,
"USW00024227","OLYMPIA AIRPORT, WA US","2021-05-18","3.3",,"1.8","0.0","0.0","10.2","15.6","2.8","  260","  240","7.6","10.7","    1",,,,"    1"
