dt,AirTemp,atmCond,AtmPressure,CO2aW,CO2bW,CO2Umm,condTemp,drip1,dryBoxTemp,dryDruck,equCond,equPress,equPump,equTemp,error,FETExtV,FETIntV,H2OaW,H2ObW,H2OFlow,H2OMmm,IntakeTemp,licorFlow,licorPress,licorTemp,O2Sat,O2Temp,O2Umm,pHTemp,Salinity,stdVal,type,ventFlow,LAT,LON,TSG45_T
2019-07-21 00:05:00,NaN,9.95,NaN,14956273,12377907,584.49,4.87,9.93,24.44,1014.02,9.95,-0.22,70,10.99,0,0.048667,1.491559,13866950,13373443,2.66,1.32,NaN,102.09,1008.88,28.35,296.838,86.122,10.933,10.971,NaN,NaN,EQU,36.36,41.8961766666667,-124.874938333333,10.7711
2019-07-21 00:08:00,NaN,9.95,NaN,15047965,12476469,575.16,4.81,9.94,24.37,1014.3,9.96,-0.93,70,11.1,0,0.048893,1.486871,13970053,13473266,2.62,1.32,NaN,104.27,1009,28.36,298.152,86.795,11.099,11.116,NaN,NaN,EQU,21.87,41.8959833333333,-124.885223333333,10.9029166666667
2019-07-21 00:11:00,NaN,9.98,NaN,15035317,12512380,556.45,4.87,9.95,24.37,1014.15,9.98,-0.21,70,11.22,0,0.049394,1.482685,14009697,13511612,2.62,1.32,NaN,104.15,1009.02,28.35,292.475,85.339,11.19,11.217,NaN,NaN,EQU,17.76,41.895855,-124.895533333333,10.9013166666667
2019-07-21 00:14:00,NaN,9.97,NaN,15014975,12504283,552.87,4.56,9.94,24.31,1014.5,9.96,-0.37,70,11.03,0,0.049559,1.487926,14078191,13578479,2.63,1.31,NaN,102.85,1009.09,28.35,283.008,82.161,10.956,10.998,NaN,NaN,EQU,-7.41,41.89594,-124.905776666667,10.8713166666667
2019-07-21 00:17:00,NaN,9.88,NaN,15074946,12560801,550.31,4.69,9.87,24.25,1014.46,9.87,-0.26,70,11.16,0,0.049525,1.486491,14098953,13597330,2.62,1.32,NaN,92.19,1009.02,28.35,285.666,83.065,10.982,11.067,NaN,NaN,EQU,1.42,41.8962133333333,-124.915938333333,10.7344333333333
2019-07-21 00:20:00,NaN,9.88,NaN,14944558,12441858,554.35,4.62,9.87,24.19,1014.51,9.88,-0.52,70,11.11,0,0.049635,1.479261,14008135,13509436,2.6,1.32,NaN,91.26,1009.11,28.34,289.54,84.733,11.493,11.345,NaN,NaN,EQU,29.01,41.89639,-124.926131666667,11.60175
2019-07-21 00:23:00,NaN,9.88,NaN,14956730,12600041,496.66,4.69,9.87,24.25,1014.35,9.87,-0.35,70,11.95,0,0.051188,1.456046,13996432,13498273,2.63,1.32,NaN,89.8,1009.09,28.33,300.721,89.241,11.933,11.953,NaN,NaN,EQU,29.93,41.89653,-124.936258333333,11.8438
2019-07-21 00:26:00,NaN,9.96,NaN,14917572,12617161,477.73,4.81,9.94,24.19,1014.54,9.96,-0.33,70,12.16,0,0.052169,1.447481,14055128,13556063,2.62,1.31,NaN,102.62,1009.18,28.33,301.587,89.77,11.994,12.087,NaN,NaN,EQU,3.6,41.8967366666667,-124.946455,11.64575
2019-07-21 00:29:00,NaN,9.97,NaN,14844967,12557735,476.97,4.75,9.95,24.25,1014.33,9.97,-0.22,70,12.05,0,0.05257,1.448624,13966760,13471277,2.64,1.31,NaN,103.86,1009.19,28.32,300.066,89.38,12.121,12.118,NaN,NaN,EQU,22.4,41.8969,-124.956846666667,12.0205333333333
2019-07-21 00:32:00,NaN,9.95,NaN,14951151,12680066,464.97,4.81,9.93,24.19,1014.61,9.94,-0.13,70,12.29,0,0.053071,1.4406,14078294,13578745,2.66,1.31,NaN,100.81,1009.19,28.32,322.269,96.294,12.205,12.255,NaN,NaN,EQU,28.15,41.897085,-124.967176666667,12.0697666666667
