#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2013 12 31 23 00 319  7.3 999 99.0 9999
2013 12 31 23 10 314  7.2 999 99.0 9999
2013 12 31 23 20 318  7.1 999 99.0 9999
2013 12 31 23 30 316  7.6 999 99.0 9999
2013 12 31 23 40 317  8.2 999 99.0 9999
2013 12 31 23 50 318  8.2 315  9.9 2341
2014 01 01 00 00 323  8.1 999 99.0 9999
2014 01 01 00 10 325  8.2 999 99.0 9999
2014 01 01 00 20 325  8.5 999 99.0 9999
2014 01 01 00 30 322  8.2 999 99.0 9999
2014 01 01 00 40 326  8.5 999 99.0 9999
2014 01 01 00 50 327  8.7 327 10.1 0033
2014 01 01 01 00 326  8.4 999 99.0 9999
2014 01 01 01 10 326  8.3 999 99.0 9999
2014 01 01 01 20 327  8.2 999 99.0 9999
2014 01 01 01 30 322  7.7 999 99.0 9999
2014 01 01 01 40 323  8.1 999 99.0 9999
2014 01 01 01 50 317  8.2 325 10.0 0051
2014 01 01 02 00 315  8.4 999 99.0 9999
2014 01 01 02 10 317  8.2 999 99.0 9999
2014 01 01 02 20 318  8.3 999 99.0 9999
2014 01 01 02 30 321  7.8 999 99.0 9999
2014 01 01 02 40 316  8.0 999 99.0 9999
2014 01 01 02 50 316  7.6 317 10.1 0210
2014 01 01 03 00 320  8.3 999 99.0 9999
2014 01 01 03 10 326  8.4 999 99.0 9999
2014 01 01 03 20 324  8.1 999 99.0 9999
2014 01 01 03 30 320  8.0 999 99.0 9999
2014 01 01 03 40 321  8.2 999 99.0 9999
2014 01 01 03 50 321  7.6 325 10.0 0304
2014 01 01 04 00 319  7.3 999 99.0 9999
2014 01 01 04 10 317  7.5 999 99.0 9999
2014 01 01 04 20 325  7.2 999 99.0 9999
2014 01 01 04 30 323  7.1 999 99.0 9999
2014 01 01 04 40 324  6.8 999 99.0 9999
2014 01 01 04 50 322  6.7 315  9.1 0358
2014 01 01 05 00 328  6.9 999 99.0 9999
2014 01 01 05 10 332  6.6 999 99.0 9999
2014 01 01 05 20 332  6.2 999 99.0 9999
2014 01 01 05 30 327  5.8 999 99.0 9999
2014 01 01 05 40 326  6.4 999 99.0 9999
2014 01 01 05 50 327  6.2 331  8.1 0500
2014 01 01 06 00 323  6.2 999 99.0 9999
2014 01 01 06 10 328  6.3 999 99.0 9999
2014 01 01 06 20 326  5.9 999 99.0 9999
2014 01 01 06 30 321  6.1 999 99.0 9999
2014 01 01 06 40 324  6.2 999 99.0 9999
2014 01 01 06 50 330  6.4 324  7.8 0643
2014 01 01 07 00 334  6.1 999 99.0 9999
2014 01 01 07 10 339  6.1 999 99.0 9999
2014 01 01 07 20 330  6.1 999 99.0 9999
2014 01 01 07 30 327  6.0 999 99.0 9999
2014 01 01 07 40 327  6.2 999 99.0 9999
2014 01 01 07 50 330  6.1 317  7.5 0719
2014 01 01 08 00 334  6.1 999 99.0 9999
2014 01 01 08 10 338  6.0 999 99.0 9999
2014 01 01 08 20 329  6.0 999 99.0 9999
2014 01 01 08 30 329  6.1 999 99.0 9999
2014 01 01 08 40 332  5.8 999 99.0 9999
2014 01 01 08 50 338  5.2 334  7.6 0800
2014 01 01 09 00 334  5.4 999 99.0 9999
2014 01 01 09 10 329  5.2 999 99.0 9999
2014 01 01 09 20 332  5.3 999 99.0 9999
2014 01 01 09 30 325  5.4 999 99.0 9999
2014 01 01 09 40 332  5.4 999 99.0 9999
2014 01 01 09 50 332  5.3 320  6.7 0924
2014 01 01 10 00 333  5.5 999 99.0 9999
2014 01 01 10 10 338  5.6 999 99.0 9999
2014 01 01 10 20 338  5.5 999 99.0 9999
2014 01 01 10 30 339  5.4 999 99.0 9999
2014 01 01 10 40 345  5.2 999 99.0 9999
2014 01 01 10 50 342  5.1 334  6.7 1023
2014 01 01 11 00 341  4.9 999 99.0 9999
2014 01 01 11 10 346  4.9 999 99.0 9999
2014 01 01 11 20 348  4.8 999 99.0 9999
2014 01 01 11 30 345  4.4 999 99.0 9999
2014 01 01 11 40 350  4.3 999 99.0 9999
2014 01 01 11 50 354  3.8 336  6.3 1104
2014 01 01 12 00 358  3.6 999 99.0 9999
2014 01 01 12 10   3  3.7 999 99.0 9999
2014 01 01 12 20   3  3.2 999 99.0 9999
2014 01 01 12 30 358  2.7 999 99.0 9999
2014 01 01 12 40 359  2.4 999 99.0 9999
2014 01 01 12 50 352  2.1   7  4.7 1208
2014 01 01 13 00 347  1.8 999 99.0 9999
2014 01 01 13 10 340  2.1 999 99.0 9999
2014 01 01 13 20 324  2.6 999 99.0 9999
2014 01 01 13 30 330  2.7 999 99.0 9999
2014 01 01 13 40 344  3.1 999 99.0 9999
2014 01 01 13 50 355  3.5 331  4.5 1341
2014 01 01 14 00   1  3.2 999 99.0 9999
2014 01 01 14 10   8  3.3 999 99.0 9999
2014 01 01 14 20   9  3.5 999 99.0 9999
2014 01 01 14 30   3  3.6 999 99.0 9999
2014 01 01 14 40   3  3.1 999 99.0 9999
2014 01 01 14 50   1  2.8 358  4.3 1419
2014 01 01 15 00  11  2.5 999 99.0 9999
2014 01 01 15 10   7  2.0 999 99.0 9999
2014 01 01 15 20  14  2.1 999 99.0 9999
2014 01 01 15 30  16  2.2 999 99.0 9999
2014 01 01 15 40  17  1.8 999 99.0 9999
2014 01 01 15 50  26  1.4  24  3.2 1458
2014 01 01 16 00  16  1.1 999 99.0 9999
2014 01 01 16 10  12  1.1 999 99.0 9999
2014 01 01 16 20  22  1.4 999 99.0 9999
2014 01 01 16 30   8  1.0 999 99.0 9999
2014 01 01 16 40   1  0.4 999 99.0 9999
2014 01 01 16 50  71  0.8 100  1.9 1645
2014 01 01 17 00  92  0.9 999 99.0 9999
2014 01 01 17 10 102  1.3 999 99.0 9999
2014 01 01 17 20 115  1.6 999 99.0 9999
2014 01 01 17 30  99  1.8 999 99.0 9999
2014 01 01 17 40  94  1.8 999 99.0 9999
2014 01 01 17 50 103  1.4  98  2.7 1733
2014 01 01 18 00 113  1.8 999 99.0 9999
2014 01 01 18 10 120  2.0 999 99.0 9999
2014 01 01 18 20 119  2.0 999 99.0 9999
2014 01 01 18 30 112  1.5 999 99.0 9999
2014 01 01 18 40 110  1.4 999 99.0 9999
2014 01 01 18 50 102  1.5 117  3.1 1812
2014 01 01 19 00  93  1.1 999 99.0 9999
2014 01 01 19 10  66  0.5 999 99.0 9999
2014 01 01 19 20  94  0.1 999 99.0 9999
2014 01 01 19 30  69  0.3 999 99.0 9999
2014 01 01 19 40  83  0.2 999 99.0 9999
2014 01 01 19 50   8  0.3 111  2.3 1850
2014 01 01 20 00 317  0.9 999 99.0 9999
2014 01 01 20 10 315  1.0 999 99.0 9999
2014 01 01 20 20 322  1.2 999 99.0 9999
2014 01 01 20 30 331  1.4 999 99.0 9999
2014 01 01 20 40 325  2.0 999 99.0 9999
2014 01 01 20 50 318  2.6 314  4.3 1950
2014 01 01 21 00 315  3.6 999 99.0 9999
2014 01 01 21 10 315  3.6 999 99.0 9999
2014 01 01 21 20 320  4.4 999 99.0 9999
2014 01 01 21 30 319  5.1 999 99.0 9999
2014 01 01 21 40 321  5.1 999 99.0 9999
2014 01 01 21 50 322  5.0 317  6.4 2134
2014 01 01 22 00 323  5.0 999 99.0 9999
2014 01 01 22 10 318  5.4 999 99.0 9999
2014 01 01 22 20 321  5.1 999 99.0 9999
2014 01 01 22 30 319  5.2 999 99.0 9999
2014 01 01 22 40 315  5.3 999 99.0 9999
2014 01 01 22 50 310  5.9 306  7.0 2246
2014 01 01 23 00 311  6.1 999 99.0 9999
2014 01 01 23 10 313  5.9 999 99.0 9999
2014 01 01 23 20 311  6.8 999 99.0 9999
2014 01 01 23 30 313  6.7 999 99.0 9999
2014 01 01 23 40 310  6.6 999 99.0 9999
2014 01 01 23 50 312  7.1 312  8.8 2250
2014 01 02 00 00 316  7.3 999 99.0 9999
2014 01 02 00 10 318  7.6 999 99.0 9999
