#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2018 02 28 23 00 179  3.6 999 99.0 9999
2018 02 28 23 10 182  3.7 999 99.0 9999
2018 02 28 23 20 178  3.2 999 99.0 9999
2018 02 28 23 30 175  3.1 999 99.0 9999
2018 02 28 23 40 169  4.1 999 99.0 9999
2018 02 28 23 50 173  4.6 176  6.0 2250
2018 03 01 00 00 169  4.8 999 99.0 9999
2018 03 01 00 10 169  4.1 999 99.0 9999
2018 03 01 00 20 170  4.4 999 99.0 9999
2018 03 01 00 30 171  4.5 999 99.0 9999
2018 03 01 00 40 166  4.6 999 99.0 9999
2018 03 01 00 50 162  4.4 173  6.1 2350
2018 03 01 01 00 164  4.4 999 99.0 9999
2018 03 01 01 10 163  4.8 999 99.0 9999
2018 03 01 01 20 167  5.2 999 99.0 9999
2018 03 01 01 30 171  5.3 999 99.0 9999
2018 03 01 01 40 181  5.0 999 99.0 9999
2018 03 01 01 50 183  4.6 166  6.6 0126
2018 03 01 02 00 179  3.9 999 99.0 9999
2018 03 01 02 10 174  4.6 999 99.0 9999
2018 03 01 02 20 171  4.7 999 99.0 9999
2018 03 01 02 30 169  4.7 999 99.0 9999
2018 03 01 02 40 169  5.2 999 99.0 9999
2018 03 01 02 50 168  5.4 168  6.6 0150
2018 03 01 03 00 166  5.9 999 99.0 9999
2018 03 01 03 10 167  6.2 999 99.0 9999
2018 03 01 03 20 172  6.1 999 99.0 9999
2018 03 01 03 30 170  5.1 999 99.0 9999
2018 03 01 03 40 173  5.4 999 99.0 9999
2018 03 01 03 50 170  6.1 168  8.2 0250
2018 03 01 04 00 173  6.1 999 99.0 9999
2018 03 01 04 10 169  6.4 999 99.0 9999
2018 03 01 04 20 169  6.6 999 99.0 9999
2018 03 01 04 30 168  6.1 999 99.0 9999
2018 03 01 04 40 166  6.8 999 99.0 9999
2018 03 01 04 50 166  6.1 163  8.3 0432
2018 03 01 05 00 168  7.0 999 99.0 9999
2018 03 01 05 10 165  7.3 999 99.0 9999
2018 03 01 05 20 166  7.6 999 99.0 9999
2018 03 01 05 30 173  7.5 999 99.0 9999
2018 03 01 05 40 176  7.5 999 99.0 9999
2018 03 01 05 50 173  7.2 169  9.5 0522
2018 03 01 06 00 172  7.7 999 99.0 9999
2018 03 01 06 10 179  8.0 999 99.0 9999
2018 03 01 06 20 181  8.0 999 99.0 9999
2018 03 01 06 30 180  8.5 999 99.0 9999
2018 03 01 06 40 180  8.4 999 99.0 9999
2018 03 01 06 50 178  8.2 177 10.1 0620
2018 03 01 07 00 175  8.2 999 99.0 9999
2018 03 01 07 10 176  8.9 999 99.0 9999
2018 03 01 07 20 173  8.5 999 99.0 9999
2018 03 01 07 30 169  8.8 999 99.0 9999
2018 03 01 07 40 173  9.0 999 99.0 9999
2018 03 01 07 50 171  8.8 171 11.1 0711
2018 03 01 08 00 167  9.8 999 99.0 9999
2018 03 01 08 10 166 10.0 999 99.0 9999
2018 03 01 08 20 166  9.6 999 99.0 9999
2018 03 01 08 30 167  9.7 999 99.0 9999
2018 03 01 08 40 168  8.8 999 99.0 9999
2018 03 01 08 50 169  9.0 162 12.1 0801
2018 03 01 09 00 171  9.5 999 99.0 9999
2018 03 01 09 10 164  9.5 999 99.0 9999
2018 03 01 09 20 168  9.7 999 99.0 9999
2018 03 01 09 30 167  9.4 999 99.0 9999
2018 03 01 09 40 168  9.2 999 99.0 9999
2018 03 01 09 50 166  9.4 167 12.2 0853
2018 03 01 10 00 166  9.4 999 99.0 9999
2018 03 01 10 10 166  9.4 999 99.0 9999
2018 03 01 10 20 171  8.5 999 99.0 9999
2018 03 01 10 30 172  8.8 999 99.0 9999
2018 03 01 10 40 178  8.2 999 99.0 9999
2018 03 01 10 50 176  9.4 177 11.2 1045
2018 03 01 11 00 177  9.2 999 99.0 9999
2018 03 01 11 10 179  8.9 999 99.0 9999
2018 03 01 11 20 177  9.2 999 99.0 9999
2018 03 01 11 30 177 10.0 999 99.0 9999
2018 03 01 11 40 182 10.6 999 99.0 9999
2018 03 01 11 50 186  9.4 180 13.0 1129
2018 03 01 12 00 183  9.3 999 99.0 9999
2018 03 01 12 10 182  9.2 999 99.0 9999
2018 03 01 12 20 180  8.2 999 99.0 9999
2018 03 01 12 30 176  8.3 999 99.0 9999
2018 03 01 12 40 175  8.4 999 99.0 9999
2018 03 01 12 50 174  9.5 185 11.0 1153
2018 03 01 13 00 174  9.9 999 99.0 9999
2018 03 01 13 10 179 10.2 999 99.0 9999
2018 03 01 13 20 180  9.7 999 99.0 9999
2018 03 01 13 30 183  9.6 999 99.0 9999
2018 03 01 13 40 181  9.9 999 99.0 9999
2018 03 01 13 50 184  9.7 183 12.5 1347
2018 03 01 14 00 179  9.9 999 99.0 9999
2018 03 01 14 10 176 10.0 999 99.0 9999
2018 03 01 14 20 174  9.7 999 99.0 9999
2018 03 01 14 30 171  8.9 999 99.0 9999
2018 03 01 14 40 174  9.1 999 99.0 9999
2018 03 01 14 50 174  9.0 178 12.2 1400
2018 03 01 15 00 177  9.3 999 99.0 9999
2018 03 01 15 10 182  8.8 999 99.0 9999
2018 03 01 15 20 184  8.3 999 99.0 9999
2018 03 01 15 30 188  8.9 999 99.0 9999
2018 03 01 15 40 188  9.3 999 99.0 9999
2018 03 01 15 50 189  9.0 177 11.4 1458
2018 03 01 16 00 189  8.9 999 99.0 9999
2018 03 01 16 10 183  9.3 999 99.0 9999
2018 03 01 16 20 184  9.1 999 99.0 9999
2018 03 01 16 30 180  9.1 999 99.0 9999
2018 03 01 16 40 182  9.3 999 99.0 9999
2018 03 01 16 50 183  9.1 183 11.5 1634
2018 03 01 17 00 182  9.3 999 99.0 9999
2018 03 01 17 10 179  9.5 999 99.0 9999
2018 03 01 17 20 179  9.7 999 99.0 9999
2018 03 01 17 30 180 10.2 999 99.0 9999
2018 03 01 17 40 180  9.9 999 99.0 9999
2018 03 01 17 50 180  9.9 175 12.5 1747
2018 03 01 18 00 184 10.1 999 99.0 9999
2018 03 01 18 10 184 10.1 999 99.0 9999
2018 03 01 18 20 187 10.9 999 99.0 9999
2018 03 01 18 30 186 10.9 999 99.0 9999
2018 03 01 18 40 185 10.4 999 99.0 9999
2018 03 01 18 50 186  9.0 185 13.2 1835
2018 03 01 19 00 193  9.7 999 99.0 9999
2018 03 01 19 10 188 11.5 999 99.0 9999
2018 03 01 19 20 184 11.3 999 99.0 9999
2018 03 01 19 30 190 11.7 999 99.0 9999
2018 03 01 19 40 188 11.1 999 99.0 9999
2018 03 01 19 50 187 10.5 188 14.3 1925
2018 03 01 20 00 185 10.7 999 99.0 9999
2018 03 01 20 10 183 11.9 999 99.0 9999
2018 03 01 20 20 192 11.8 999 99.0 9999
2018 03 01 20 30 209  8.2 999 99.0 9999
2018 03 01 20 40 207  7.7 999 99.0 9999
2018 03 01 20 50 213  8.4 186 15.9 2012
2018 03 01 21 00 209  8.0 999 99.0 9999
2018 03 01 21 10 206  7.5 999 99.0 9999
2018 03 01 21 20 204  6.6 999 99.0 9999
2018 03 01 21 30 201  6.7 999 99.0 9999
2018 03 01 21 40 203  5.9 999 99.0 9999
2018 03 01 21 50 205  6.3 204  9.3 2100
2018 03 01 22 00 203  6.0 999 99.0 9999
2018 03 01 22 10 205  6.1 999 99.0 9999
2018 03 01 22 20 202  6.0 999 99.0 9999
2018 03 01 22 30 200  5.8 999 99.0 9999
2018 03 01 22 40 204  5.8 999 99.0 9999
2018 03 01 22 50 205  5.9 205  7.3 2205
2018 03 01 23 00 207  6.5 999 99.0 9999
2018 03 01 23 10 211  7.0 999 99.0 9999
2018 03 01 23 20 218  7.0 999 99.0 9999
2018 03 01 23 30 227  6.9 999 99.0 9999
2018 03 01 23 40 229  7.4 999 99.0 9999
2018 03 01 23 50 228  7.1 232  9.1 2331
2018 03 02 00 00 235  7.2 999 99.0 9999
2018 03 02 00 10 238  6.5 999 99.0 9999
2018 03 02 00 20 235  6.6 999 99.0 9999
2018 03 02 00 30 233  6.4 999 99.0 9999
2018 03 02 00 40 226  5.5 999 99.0 9999
2018 03 02 00 50 227  4.9 232  8.5 2359
2018 03 02 01 00 217  4.9 999 99.0 9999
2018 03 02 01 10 216  4.8 999 99.0 9999
2018 03 02 01 20 210  5.8 999 99.0 9999
2018 03 02 01 30 211  6.2 999 99.0 9999
2018 03 02 01 40 215  6.2 999 99.0 9999
2018 03 02 01 50 212  5.7 202  7.5 0140
2018 03 02 02 00 209  5.5 999 99.0 9999
2018 03 02 02 10 205  5.6 999 99.0 9999
2018 03 02 02 20 207  6.0 999 99.0 9999
2018 03 02 02 30 208  6.3 999 99.0 9999
2018 03 02 02 40 204  6.1 999 99.0 9999
2018 03 02 02 50 200  5.4 208  7.7 0226
2018 03 02 03 00 204  5.3 999 99.0 9999
2018 03 02 03 10 205  5.5 999 99.0 9999
2018 03 02 03 20 199  5.4 999 99.0 9999
2018 03 02 03 30 202  6.3 999 99.0 9999
2018 03 02 03 40 204  6.6 999 99.0 9999
2018 03 02 03 50 214  7.5 220  9.4 0343
2018 03 02 04 00 218  7.5 999 99.0 9999
2018 03 02 04 10 221  7.2 999 99.0 9999
2018 03 02 04 20 216  6.6 999 99.0 9999
2018 03 02 04 30 214  6.9 999 99.0 9999
2018 03 02 04 40 214  7.0 999 99.0 9999
2018 03 02 04 50 215  6.7 217  9.0 0359
2018 03 02 05 00 213  6.6 999 99.0 9999
2018 03 02 05 10 208  6.4 999 99.0 9999
2018 03 02 05 20 205  7.0 999 99.0 9999
2018 03 02 05 30 203  7.3 999 99.0 9999
2018 03 02 05 40 226  8.7 999 99.0 9999
2018 03 02 05 50 230  9.0 250 11.8 0537
2018 03 02 06 00 228  8.2 999 99.0 9999
2018 03 02 06 10 226  8.2 999 99.0 9999
2018 03 02 06 20 227  8.2 999 99.0 9999
2018 03 02 06 30 234  8.0 999 99.0 9999
2018 03 02 06 40 236  8.4 999 99.0 9999
2018 03 02 06 50 235 10.3 229 13.9 0644
2018 03 02 07 00 239  7.9 999 99.0 9999
2018 03 02 07 10 231  7.1 999 99.0 9999
2018 03 02 07 20 237  8.0 999 99.0 9999
2018 03 02 07 30 242  7.6 999 99.0 9999
2018 03 02 07 40 242  7.2 999 99.0 9999
2018 03 02 07 50 239  6.7 236 10.1 0652
2018 03 02 08 00 261  7.0 999 99.0 9999
2018 03 02 08 10 286  7.3 999 99.0 9999
2018 03 02 08 20 282  7.0 999 99.0 9999
2018 03 02 08 30 277  7.7 999 99.0 9999
2018 03 02 08 40 283  7.0 999 99.0 9999
2018 03 02 08 50 285  5.9 290  9.7 0758
2018 03 02 09 00 283  5.2 999 99.0 9999
2018 03 02 09 10 280  4.9 999 99.0 9999
2018 03 02 09 20 279  5.0 999 99.0 9999
2018 03 02 09 30 271  5.7 999 99.0 9999
2018 03 02 09 40 284  6.9 999 99.0 9999
2018 03 02 09 50 296  6.6 297  8.8 0939
2018 03 02 10 00 289  6.3 999 99.0 9999
2018 03 02 10 10 285  5.8 999 99.0 9999
2018 03 02 10 20 279  5.6 999 99.0 9999
2018 03 02 10 30 276  4.9 999 99.0 9999
2018 03 02 10 40 277  4.5 999 99.0 9999
2018 03 02 10 50 273  4.3 284  7.8 1012
2018 03 02 11 00 270  4.2 999 99.0 9999
2018 03 02 11 10 268  4.1 999 99.0 9999
2018 03 02 11 20 271  3.7 999 99.0 9999
2018 03 02 11 30 266  4.0 999 99.0 9999
2018 03 02 11 40 271  4.2 999 99.0 9999
2018 03 02 11 50 259  3.8 267  5.9 1102
2018 03 02 12 00 269  4.1 999 99.0 9999
2018 03 02 12 10 260  3.8 999 99.0 9999
2018 03 02 12 20 261  3.4 999 99.0 9999
2018 03 02 12 30 259  3.7 999 99.0 9999
2018 03 02 12 40 260  3.8 999 99.0 9999
2018 03 02 12 50 268  4.4 263  5.8 1243
2018 03 02 13 00 260  4.1 999 99.0 9999
2018 03 02 13 10 258  3.6 999 99.0 9999
2018 03 02 13 20 256  2.9 999 99.0 9999
2018 03 02 13 30 278  2.2 999 99.0 9999
2018 03 02 13 40 269  1.9 999 99.0 9999
2018 03 02 13 50 260  2.0 256  5.3 1256
2018 03 02 14 00 249  2.4 999 99.0 9999
2018 03 02 14 10 251  2.3 999 99.0 9999
2018 03 02 14 20 245  2.2 999 99.0 9999
2018 03 02 14 30 244  2.2 999 99.0 9999
2018 03 02 14 40 235  2.2 999 99.0 9999
2018 03 02 14 50 225  1.9 263  3.6 1432
2018 03 02 15 00 225  2.2 999 99.0 9999
2018 03 02 15 10 219  2.2 999 99.0 9999
2018 03 02 15 20 217  2.9 999 99.0 9999
2018 03 02 15 30 206  4.1 999 99.0 9999
2018 03 02 15 40 203  4.0 999 99.0 9999
2018 03 02 15 50 217  4.0 202  5.1 1534
2018 03 02 16 00 222  4.0 999 99.0 9999
2018 03 02 16 10 197  4.7 999 99.0 9999
2018 03 02 16 20 191  5.3 999 99.0 9999
2018 03 02 16 30 195  5.0 999 99.0 9999
2018 03 02 16 40 193  5.0 999 99.0 9999
2018 03 02 16 50 194  5.8 197  7.2 1648
2018 03 02 17 00 206  6.0 999 99.0 9999
2018 03 02 17 10 191  5.4 999 99.0 9999
2018 03 02 17 20 186  6.1 999 99.0 9999
2018 03 02 17 30 185  5.7 999 99.0 9999
2018 03 02 17 40 181  6.1 999 99.0 9999
2018 03 02 17 50 180  6.7 177  8.0 1742
2018 03 02 18 00 177  6.6 999 99.0 9999
2018 03 02 18 10 173  6.9 999 99.0 9999
2018 03 02 18 20 170  6.1 999 99.0 9999
2018 03 02 18 30 169  6.5 999 99.0 9999
2018 03 02 18 40 173  6.5 999 99.0 9999
2018 03 02 18 50 179  6.6 159  8.3 1806
2018 03 02 19 00 176  7.1 999 99.0 9999
2018 03 02 19 10 181  7.9 999 99.0 9999
2018 03 02 19 20 179  7.4 999 99.0 9999
2018 03 02 19 30 181  7.1 999 99.0 9999
2018 03 02 19 40 180  7.3 999 99.0 9999
2018 03 02 19 50 181  7.5 180  9.6 1850
2018 03 02 20 00 176  9.4 999 99.0 9999
2018 03 02 20 10 189  6.0 999 99.0 9999
2018 03 02 20 20 202  5.7 999 99.0 9999
2018 03 02 20 30 178  8.0 999 99.0 9999
2018 03 02 20 40 175  9.1 999 99.0 9999
2018 03 02 20 50 172  7.8 177 14.4 1953
2018 03 02 21 00 167  7.2 999 99.0 9999
2018 03 02 21 10 178  8.2 999 99.0 9999
2018 03 02 21 20 190  9.0 999 99.0 9999
2018 03 02 21 30 189  8.9 999 99.0 9999
2018 03 02 21 40 194  9.9 999 99.0 9999
2018 03 02 21 50 196  9.8 194 12.2 2147
2018 03 02 22 00 201  9.9 999 99.0 9999
2018 03 02 22 10 194  9.8 999 99.0 9999
2018 03 02 22 20 191  9.7 999 99.0 9999
2018 03 02 22 30 192  9.6 999 99.0 9999
2018 03 02 22 40 191  9.6 999 99.0 9999
2018 03 02 22 50 205  9.7 212 12.5 2246
2018 03 02 23 00 204 10.1 999 99.0 9999
2018 03 02 23 10 208  9.5 999 99.0 9999
2018 03 02 23 20 204  8.9 999 99.0 9999
2018 03 02 23 30 213  8.9 999 99.0 9999
2018 03 02 23 40 210  8.6 999 99.0 9999
2018 03 02 23 50 208  7.4 203 12.5 2255
2018 03 03 00 00 209  9.4 999 99.0 9999
2018 03 03 00 10 211  9.2 999 99.0 9999
2018 03 03 00 20 212  8.8 999 99.0 9999
2018 03 03 00 30 208  8.4 999 99.0 9999
2018 03 03 00 40 214  8.5 999 99.0 9999
2018 03 03 00 50 220  8.7 213 11.3 2359
2018 03 03 01 00 218  8.3 999 99.0 9999
2018 03 03 01 10 217  8.0 999 99.0 9999
2018 03 03 01 20 226  8.0 999 99.0 9999
2018 03 03 01 30 231  7.6 999 99.0 9999
2018 03 03 01 40 222  7.5 999 99.0 9999
2018 03 03 01 50 223  7.4 219 10.0 0051
2018 03 03 02 00 229  7.9 999 99.0 9999
2018 03 03 02 10 240  7.7 999 99.0 9999
2018 03 03 02 20 241  8.0 999 99.0 9999
2018 03 03 02 30 239  7.9 999 99.0 9999
2018 03 03 02 40 238  7.5 999 99.0 9999
2018 03 03 02 50 236  7.3 232 10.2 0155
2018 03 03 03 00 237  7.5 999 99.0 9999
2018 03 03 03 10 234  7.3 999 99.0 9999
2018 03 03 03 20 238  7.5 999 99.0 9999
2018 03 03 03 30 238  7.1 999 99.0 9999
2018 03 03 03 40 221  6.5 999 99.0 9999
2018 03 03 03 50 223  5.7 242  9.2 0251
2018 03 03 04 00 243  6.7 999 99.0 9999
2018 03 03 04 10 248  7.0 999 99.0 9999
2018 03 03 04 20 252  7.9 999 99.0 9999
2018 03 03 04 30 246  6.9 999 99.0 9999
2018 03 03 04 40 247  6.2 999 99.0 9999
