#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2018 03 31 23 00 317  8.9 999 99.0 9999
2018 03 31 23 10 317  8.8 999 99.0 9999
2018 03 31 23 20 314  9.4 999 99.0 9999
2018 03 31 23 30 314  9.7 999 99.0 9999
2018 03 31 23 40 310  9.9 999 99.0 9999
2018 03 31 23 50 312  9.9 310 11.7 2338
2018 04 01 00 00 308  9.4 999 99.0 9999
2018 04 01 00 10 311 10.2 999 99.0 9999
2018 04 01 00 20 313 10.1 999 99.0 9999
2018 04 01 00 30 313 10.0 999 99.0 9999
2018 04 01 00 40 309  9.5 999 99.0 9999
2018 04 01 00 50 307 10.1 309 12.1 0006
2018 04 01 01 00 309 10.5 999 99.0 9999
2018 04 01 01 10 313 10.1 999 99.0 9999
2018 04 01 01 20 312 10.4 999 99.0 9999
2018 04 01 01 30 312 10.0 999 99.0 9999
2018 04 01 01 40 313  9.9 999 99.0 9999
2018 04 01 01 50 320 10.1 304 12.3 0125
2018 04 01 02 00 322  9.7 999 99.0 9999
2018 04 01 02 10 313  8.9 999 99.0 9999
2018 04 01 02 20 314  8.9 999 99.0 9999
2018 04 01 02 30 307  9.1 999 99.0 9999
2018 04 01 02 40 307  9.1 999 99.0 9999
2018 04 01 02 50 308  9.3 329 11.5 0156
2018 04 01 03 00 307  9.1 999 99.0 9999
2018 04 01 03 10 313  8.8 999 99.0 9999
2018 04 01 03 20 309  9.1 999 99.0 9999
2018 04 01 03 30 310  9.5 999 99.0 9999
2018 04 01 03 40 308  9.9 999 99.0 9999
2018 04 01 03 50 311  9.6 309 11.8 0335
2018 04 01 04 00 308  9.3 999 99.0 9999
2018 04 01 04 10 310  8.6 999 99.0 9999
2018 04 01 04 20 314  8.9 999 99.0 9999
2018 04 01 04 30 315  8.2 999 99.0 9999
2018 04 01 04 40 309  8.9 999 99.0 9999
2018 04 01 04 50 316  7.3 305 11.0 0412
2018 04 01 05 00 319  7.3 999 99.0 9999
2018 04 01 05 10 318  7.8 999 99.0 9999
2018 04 01 05 20 312  7.9 999 99.0 9999
2018 04 01 05 30 316  7.4 999 99.0 9999
2018 04 01 05 40 317  7.7 999 99.0 9999
2018 04 01 05 50 324  7.5 329  9.6 0549
2018 04 01 06 00 322  7.8 999 99.0 9999
2018 04 01 06 10 334  7.5 999 99.0 9999
2018 04 01 06 20 330  6.9 999 99.0 9999
2018 04 01 06 30 320  6.7 999 99.0 9999
2018 04 01 06 40 331  6.2 999 99.0 9999
2018 04 01 06 50 326  6.0 318  9.5 0553
2018 04 01 07 00 329  6.3 999 99.0 9999
2018 04 01 07 10 322  5.8 999 99.0 9999
2018 04 01 07 20 321  5.8 999 99.0 9999
2018 04 01 07 30 327  5.6 999 99.0 9999
2018 04 01 07 40 325  5.8 999 99.0 9999
2018 04 01 07 50 329  5.6 339  7.8 0653
2018 04 01 08 00 320  5.4 999 99.0 9999
2018 04 01 08 10 327  5.4 999 99.0 9999
2018 04 01 08 20 313  5.3 999 99.0 9999
2018 04 01 08 30 317  5.4 999 99.0 9999
2018 04 01 08 40 318  5.4 999 99.0 9999
2018 04 01 08 50 314  4.5 321  7.0 0754
2018 04 01 09 00 314  4.6 999 99.0 9999
2018 04 01 09 10 312  4.7 999 99.0 9999
2018 04 01 09 20 315  4.8 999 99.0 9999
2018 04 01 09 30 315  5.0 999 99.0 9999
2018 04 01 09 40 318  4.6 999 99.0 9999
2018 04 01 09 50 322  4.8 308  6.0 0931
2018 04 01 10 00 328  4.5 999 99.0 9999
2018 04 01 10 10 321  4.6 999 99.0 9999
2018 04 01 10 20 323  4.8 999 99.0 9999
2018 04 01 10 30 320  4.8 999 99.0 9999
2018 04 01 10 40 322  4.7 999 99.0 9999
2018 04 01 10 50 321  4.9 316  6.0 1030
2018 04 01 11 00 323  4.6 999 99.0 9999
2018 04 01 11 10 326  4.5 999 99.0 9999
2018 04 01 11 20 324  4.7 999 99.0 9999
2018 04 01 11 30 326  4.5 999 99.0 9999
2018 04 01 11 40 329  4.6 999 99.0 9999
2018 04 01 11 50 332  4.5 325  5.6 1058
2018 04 01 12 00  16  2.8 999 99.0 9999
2018 04 01 12 10  27  1.7 999 99.0 9999
2018 04 01 12 20  42  1.6 999 99.0 9999
2018 04 01 12 30  55  1.8 999 99.0 9999
2018 04 01 12 40  55  1.5 999 99.0 9999
2018 04 01 12 50  44  1.4 333  5.1 1151
2018 04 01 13 00  37  1.6 999 99.0 9999
2018 04 01 13 10  40  1.8 999 99.0 9999
2018 04 01 13 20  35  1.9 999 99.0 9999
2018 04 01 13 30  40  2.1 999 99.0 9999
2018 04 01 13 40  41  2.2 999 99.0 9999
2018 04 01 13 50  48  2.5  56  3.3 1347
2018 04 01 14 00  47  2.4 999 99.0 9999
2018 04 01 14 10  51  2.0 999 99.0 9999
2018 04 01 14 20  50  2.1 999 99.0 9999
2018 04 01 14 30  45  2.2 999 99.0 9999
2018 04 01 14 40  44  2.3 999 99.0 9999
2018 04 01 14 50  46  1.9  42  3.0 1431
2018 04 01 15 00  48  2.0 999 99.0 9999
2018 04 01 15 10  55  2.3 999 99.0 9999
2018 04 01 15 20  60  2.4 999 99.0 9999
2018 04 01 15 30  55  2.4 999 99.0 9999
2018 04 01 15 40  50  2.4 999 99.0 9999
2018 04 01 15 50  51  2.8  61  3.4 1538
2018 04 01 16 00  47  2.9 999 99.0 9999
2018 04 01 16 10  40  2.9 999 99.0 9999
2018 04 01 16 20  44  2.9 999 99.0 9999
2018 04 01 16 30  46  2.6 999 99.0 9999
2018 04 01 16 40  31  2.3 999 99.0 9999
2018 04 01 16 50  36  2.0  38  3.8 1616
2018 04 01 17 00  35  2.1 999 99.0 9999
2018 04 01 17 10  30  1.6 999 99.0 9999
2018 04 01 17 20  18  1.5 999 99.0 9999
2018 04 01 17 30  24  1.3 999 99.0 9999
2018 04 01 17 40  21  1.5 999 99.0 9999
2018 04 01 17 50  10  1.5  13  2.9 1657
2018 04 01 18 00 354  1.4 999 99.0 9999
2018 04 01 18 10 331  1.5 999 99.0 9999
2018 04 01 18 20 319  1.4 999 99.0 9999
2018 04 01 18 30 302  1.7 999 99.0 9999
2018 04 01 18 40 303  3.9 999 99.0 9999
2018 04 01 18 50 316  6.4 317  7.5 1750
2018 04 01 19 00 316  6.7 999 99.0 9999
2018 04 01 19 10 318  7.3 999 99.0 9999
2018 04 01 19 20 318  7.8 999 99.0 9999
2018 04 01 19 30 317  8.4 999 99.0 9999
2018 04 01 19 40 317  8.3 999 99.0 9999
2018 04 01 19 50 316  8.8 316 10.5 1946
2018 04 01 20 00 314  8.6 999 99.0 9999
2018 04 01 20 10 310  8.4 999 99.0 9999
2018 04 01 20 20 309  8.3 999 99.0 9999
2018 04 01 20 30 308  8.4 999 99.0 9999
2018 04 01 20 40 309  8.4 999 99.0 9999
2018 04 01 20 50 307  8.5 307 10.6 2048
2018 04 01 21 00 305  9.0 999 99.0 9999
2018 04 01 21 10 307  9.2 999 99.0 9999
2018 04 01 21 20 306  9.3 999 99.0 9999
2018 04 01 21 30 305  9.5 999 99.0 9999
2018 04 01 21 40 306  9.4 999 99.0 9999
2018 04 01 21 50 306  9.7 308 11.3 2058
2018 04 01 22 00 305  9.5 999 99.0 9999
2018 04 01 22 10 305  9.8 999 99.0 9999
2018 04 01 22 20 306  9.9 999 99.0 9999
2018 04 01 22 30 308  9.8 999 99.0 9999
2018 04 01 22 40 308 10.0 999 99.0 9999
2018 04 01 22 50 312  9.6 308 11.7 2226
2018 04 01 23 00 310  9.4 999 99.0 9999
2018 04 01 23 10 309  9.6 999 99.0 9999
2018 04 01 23 20 310  9.8 999 99.0 9999
2018 04 01 23 30 309  9.5 999 99.0 9999
2018 04 01 23 40 314  9.9 999 99.0 9999
2018 04 01 23 50 317 10.2 310 11.8 2332
2018 04 02 00 00 316 10.3 999 99.0 9999
2018 04 02 00 10 317 10.0 999 99.0 9999
2018 04 02 00 20 322  9.8 999 99.0 9999
2018 04 02 00 30 320  9.3 999 99.0 9999
2018 04 02 00 40 318  9.7 999 99.0 9999
2018 04 02 00 50 320  9.2 313 12.2 2352
2018 04 02 01 00 323  8.9 999 99.0 9999
2018 04 02 01 10 321  9.6 999 99.0 9999
2018 04 02 01 20 322 10.7 999 99.0 9999
2018 04 02 01 30 321 10.5 999 99.0 9999
2018 04 02 01 40 320 11.2 999 99.0 9999
2018 04 02 01 50 321 10.6 320 13.5 0141
2018 04 02 02 00 321 10.1 999 99.0 9999
2018 04 02 02 10 317 11.2 999 99.0 9999
2018 04 02 02 20 315 11.2 999 99.0 9999
2018 04 02 02 30 316 10.7 999 99.0 9999
2018 04 02 02 40 318 10.4 999 99.0 9999
