#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2018 01 31 23 00 327  6.7 999 99.0 9999
2018 01 31 23 10 323  7.7 999 99.0 9999
2018 01 31 23 20 323  8.1 999 99.0 9999
2018 01 31 23 30 322  7.9 999 99.0 9999
2018 01 31 23 40 325  9.2 999 99.0 9999
2018 01 31 23 50 326  8.8 327 11.3 2333
2018 02 01 00 00 325  8.4 999 99.0 9999
2018 02 01 00 10 321  9.4 999 99.0 9999
2018 02 01 00 20 321  9.5 999 99.0 9999
2018 02 01 00 30 320 10.0 999 99.0 9999
2018 02 01 00 40 320  9.7 999 99.0 9999
2018 02 01 00 50 324  9.8 318 12.5 0028
2018 02 01 01 00 323 10.0 999 99.0 9999
2018 02 01 01 10 323 10.7 999 99.0 9999
2018 02 01 01 20 323 10.6 999 99.0 9999
2018 02 01 01 30 326 10.1 999 99.0 9999
2018 02 01 01 40 324 10.3 999 99.0 9999
2018 02 01 01 50 325  9.5 323 12.8 0106
2018 02 01 02 00 324  9.7 999 99.0 9999
2018 02 01 02 10 323 10.0 999 99.0 9999
2018 02 01 02 20 320 10.0 999 99.0 9999
2018 02 01 02 30 321  9.9 999 99.0 9999
2018 02 01 02 40 322 10.0 999 99.0 9999
2018 02 01 02 50 321  9.3 322 11.9 0231
2018 02 01 03 00 327  8.6 999 99.0 9999
2018 02 01 03 10 327  8.0 999 99.0 9999
2018 02 01 03 20 325  7.8 999 99.0 9999
2018 02 01 03 30 324  8.1 999 99.0 9999
2018 02 01 03 40 324  7.8 999 99.0 9999
2018 02 01 03 50 326  8.3 331 10.5 0255
2018 02 01 04 00 329  8.1 999 99.0 9999
2018 02 01 04 10 333  7.9 999 99.0 9999
2018 02 01 04 20 336  7.6 999 99.0 9999
2018 02 01 04 30 334  7.7 999 99.0 9999
2018 02 01 04 40 332  8.0 999 99.0 9999
2018 02 01 04 50 337  7.9 333  9.8 0438
2018 02 01 06 00 357  6.5 999 99.0 9999
2018 02 01 06 10   1  6.3 999 99.0 9999
2018 02 01 06 20 359  5.9 999 99.0 9999
2018 02 01 06 30 358  5.2 999 99.0 9999
2018 02 01 06 40 352  5.6 999 99.0 9999
2018 02 01 06 50 342  5.8 358  7.9 0555
2018 02 01 07 00 338  5.4 999 99.0 9999
2018 02 01 07 10 338  4.9 999 99.0 9999
2018 02 01 07 20 357  3.9 999 99.0 9999
2018 02 01 07 30 350  4.3 999 99.0 9999
2018 02 01 07 40 340  5.1 999 99.0 9999
2018 02 01 07 50 343  5.3 342  6.4 0650
2018 02 01 08 00 350  5.0 999 99.0 9999
2018 02 01 08 10 355  4.4 999 99.0 9999
2018 02 01 08 20 350  4.5 999 99.0 9999
2018 02 01 08 30 343  4.8 999 99.0 9999
