Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2011-10-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2018-07-19 22:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Thu, 19 Jul 2018 22:49:35 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2011,10,5,13:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,880,1.76,5.21,5.27,5.16,250,980,0.92,NaN,2,NaN,NaN,NaN,NaN,0.7,NaN,NaN,47200,9.8,NaN,15.1
2011,10,12,12:55:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3.85,3.45,3.52,3.38,250,160,0.06,NaN,2.51,NaN,NaN,NaN,NaN,1.07,NaN,NaN,0,18.54,NaN,15.4
2011,10,19,13:09:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,20,1.74,13.05,12.94,13.15,250,18900,0.26,NaN,5.81,NaN,NaN,NaN,NaN,0.85,NaN,NaN,13450,16.35,NaN,17.2
2011,10,26,14:10:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,760,4.55,5.9,5.97,5.82,250,0,0.05,NaN,5.86,NaN,NaN,NaN,NaN,1.37,NaN,NaN,900,17.21,NaN,13.5
2011,11,2,13:35:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,50,3.77,4.43,4.49,4.38,250,0,0.05,NaN,5.42,NaN,NaN,NaN,NaN,1.49,NaN,NaN,2600,21.63,NaN,12.3
2011,11,9,16:50:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,1490,1.55,13.93,14.14,13.72,250,130,3.81,NaN,6.13,NaN,NaN,NaN,NaN,1.11,NaN,NaN,153850,19.68,NaN,12.1
2011,11,16,16:06:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,7066.67,0.24,48.55,47.82,49.29,100,83,0,NaN,0.49,NaN,NaN,NaN,NaN,1.45,NaN,NaN,250,19.45,NaN,11.3
2011,11,23,15:45:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,2360,0.11,52.85,48.86,56.84,100,100,3.13,NaN,0.07,NaN,NaN,NaN,NaN,0.75,NaN,NaN,81200,15.61,NaN,11.3
2011,11,30,15:45:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,820,0.13,53.27,51.59,54.95,100,80,0.8,NaN,0.21,NaN,NaN,NaN,NaN,0.65,NaN,NaN,25350,18.22,NaN,11.5
2011,12,7,15:35:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,1720,0.51,42.45,42.7,42.21,100,140,0.09,NaN,0.94,NaN,NaN,NaN,NaN,0.76,NaN,NaN,5050,18.8,NaN,10.2
2011,12,14,16:50:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,80,4.92,2.1,2.24,1.97,250,10,0.54,NaN,2.35,NaN,NaN,NaN,NaN,1.13,NaN,NaN,27200,16.36,NaN,10.7
2011,12,21,16:34:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,270,2.57,1.57,1.7,1.44,250,30,0,NaN,5.38,NaN,NaN,NaN,NaN,0.86,NaN,NaN,0,9.87,NaN,11.1
2012,1,4,16:55:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.46,1.6,1.59,1.61,250,0,0,NaN,10.14,NaN,NaN,NaN,NaN,1.27,NaN,NaN,0,16.09,NaN,11.2
2012,1,11,16:35:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,10,2.11,2.85,2.86,2.85,250,60,0,NaN,10.04,NaN,NaN,NaN,NaN,1.25,NaN,NaN,0,17.93,NaN,10.4
2012,1,18,16:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.97,1.47,1.45,1.48,250,90,0,NaN,9.48,NaN,NaN,NaN,NaN,1.29,NaN,NaN,0,20.91,NaN,9.7
2012,1,25,16:36:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.37,1.5,1.56,1.44,250,90,0,NaN,7.84,NaN,NaN,NaN,NaN,1.18,NaN,NaN,0,18.2,NaN,10.9
2012,2,1,15:50:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.28,2.83,3.21,2.46,250,20,0,NaN,7.81,NaN,NaN,NaN,NaN,1.34,NaN,NaN,0,18.39,NaN,11.4
2012,2,8,15:50:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.6,3.66,3.55,3.77,250,0,0,NaN,5.7,NaN,NaN,NaN,NaN,1.16,NaN,NaN,0,12.55,NaN,11.1
2012,2,15,15:50:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.2,1.7,1.63,1.78,250,10,0,NaN,9.51,NaN,NaN,NaN,NaN,1.41,NaN,NaN,0,16.58,NaN,10.1
2012,2,22,16:03:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.79,2.94,2.93,2.95,250,0,0,NaN,10,NaN,NaN,NaN,NaN,1.49,NaN,NaN,0,19.37,NaN,10.7
2012,2,29,16:17:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.03,4.36,4.38,4.34,250,0,0,NaN,14.32,NaN,NaN,NaN,NaN,1.62,NaN,NaN,0,24.44,NaN,10.2
2012,3,7,16:20:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.16,3.36,3.21,3.51,250,20,0,NaN,18.93,NaN,NaN,NaN,NaN,2.15,NaN,NaN,0,31.42,NaN,8.8
2012,3,14,15:20:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.42,8.01,7.77,8.26,250,20,0,NaN,4.37,NaN,NaN,NaN,NaN,1.43,NaN,NaN,0,38.52,NaN,10.7
2012,3,21,15:25:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.93,2.86,3,2.72,250,200,0,NaN,9.42,NaN,NaN,NaN,NaN,1.55,NaN,NaN,0,23.84,NaN,11.1
2012,3,28,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.36,4.99,4.97,5.01,250,40,0,NaN,10.36,NaN,NaN,NaN,NaN,1.62,NaN,NaN,0,29.12,NaN,11.2
2012,4,4,14:28:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.81,6.79,6.68,6.89,250,NaN,0,NaN,12.15,NaN,NaN,NaN,NaN,1.52,NaN,NaN,0,22.72,NaN,10.5
2012,4,11,15:52:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.44,6.08,6.36,5.79,250,0,0,NaN,8.63,NaN,NaN,NaN,NaN,1.26,NaN,NaN,0,21,NaN,11.2
2012,4,18,15:01:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.11,10.29,9.94,10.64,250,50,0.01,NaN,0.76,NaN,NaN,NaN,NaN,0.82,NaN,NaN,1450,2.96,NaN,11.2
2012,4,25,15:09:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.99,6.21,5.94,6.48,250,80,0.08,NaN,2.34,NaN,NaN,NaN,NaN,0.89,NaN,NaN,10850,17.17,NaN,12.7
2012,5,2,14:25:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.63,13.75,12.18,15.33,250,70,0.48,NaN,0.58,NaN,NaN,NaN,NaN,0.82,NaN,NaN,59350,13.57,NaN,11.5
2012,5,9,14:55:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.95,6,6.09,5.91,250,0,0.02,NaN,0,NaN,NaN,NaN,NaN,0.23,NaN,NaN,24200,0.48,NaN,12.6
2012,5,16,14:32:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.21,2.67,2.81,2.53,250,60,0.23,NaN,0.26,NaN,NaN,NaN,NaN,0.46,NaN,NaN,13500,9.47,NaN,12.9
2012,5,23,14:36:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.03,15.29,13.16,17.43,250,20,0.17,NaN,0.84,NaN,NaN,NaN,NaN,0.69,NaN,NaN,124450,0.97,NaN,13.1
2012,5,30,14:58:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.05,4.62,4.68,4.55,250,30,0.36,NaN,22.86,NaN,NaN,NaN,NaN,3.21,NaN,NaN,52800,34.67,NaN,11.9
2012,6,6,14:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,5.97,6.78,6.77,6.8,250,NaN,0.16,NaN,3.36,NaN,NaN,NaN,NaN,1.1,NaN,NaN,27800,9.78,NaN,9.4
2012,6,13,14:58:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.07,7.21,7.2,7.23,250,70,0.06,NaN,0,NaN,NaN,NaN,NaN,0.13,NaN,NaN,2000,2.7,NaN,14.1
2012,6,20,15:19:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.2,3.24,3.35,3.14,250,310,0,NaN,0.96,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0,10.1,NaN,12.9
2012,6,27,14:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,1.58,3.28,3.39,3.16,250,720,0.02,NaN,1.59,NaN,NaN,NaN,NaN,0.56,NaN,NaN,0,4.21,NaN,14.7
2012,7,3,15:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.46,12.38,13.5,11.26,250,460,0.02,NaN,1.18,NaN,NaN,NaN,NaN,0.51,NaN,NaN,800,4.57,NaN,15.8
2012,7,11,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.73,5.13,5.29,4.98,250,360,0.04,NaN,0.45,NaN,NaN,NaN,NaN,0.44,NaN,NaN,350,6.17,NaN,14.8
2012,7,18,15:05:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.91,4.2,4.08,4.32,250,860,0,NaN,0.38,NaN,NaN,NaN,NaN,0.51,NaN,NaN,0,9.19,NaN,14.2
2012,7,26,15:30:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,2.03,6.32,6.11,6.53,250,850,0.01,NaN,2.6,NaN,NaN,NaN,NaN,1.09,NaN,NaN,0,9.91,NaN,13.8
2012,8,1,16:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.76,4.65,4.66,4.64,250,4340,0.51,NaN,0.62,NaN,NaN,NaN,NaN,0.47,NaN,NaN,206700,4.6,NaN,15.4
2012,8,8,15:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,3.1,2.48,2.54,2.42,250,490,1.69,NaN,1.13,NaN,NaN,NaN,NaN,1.17,NaN,NaN,36450,8.41,NaN,15.7
2012,8,15,15:00:00,36.958,-122.017,0,Santa Cruz Wharf,NaN,0,0.7,8.44,8.19,8.68,250,2360,9.36,NaN,0.7,NaN,NaN,NaN,NaN,0.55,NaN,NaN,275300,8.29,NaN,14.2
