#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 06 01 00 04 300  7.7 99.0 99.00 99.00 99.00 999 1016.9  12.6  12.2 999.0 99.0 99.00
2018 06 01 01 04 300  8.8 99.0 99.00 99.00 99.00 999 1016.6  12.6  12.2 999.0 99.0 99.00
2018 06 01 02 04 300  9.3 99.0 99.00 99.00 99.00 999 1016.6  12.6  12.1 999.0 99.0 99.00
2018 06 01 03 04 300  8.2 99.0 99.00 99.00 99.00 999 1016.8  12.5  12.1 999.0 99.0 99.00
2018 06 01 04 04 310  8.2 99.0 99.00 99.00 99.00 999 1017.0  12.3  12.0 999.0 99.0 99.00
2018 06 01 05 04 310  8.8 99.0 99.00 99.00 99.00 999 1017.3  12.2  11.9 999.0 99.0 99.00
2018 06 01 06 04 320  7.7 99.0 99.00 99.00 99.00 999 1017.5  12.1  11.8 999.0 99.0 99.00
2018 06 01 07 04 310  8.2 99.0 99.00 99.00 99.00 999 1017.5  12.1  11.7 999.0 99.0 99.00
2018 06 01 08 04 310  7.7 99.0 99.00 99.00 99.00 999 1017.3  11.9  11.6 999.0 99.0 99.00
2018 06 01 09 04 320  7.2 99.0 99.00 99.00 99.00 999 1017.0  11.7  11.6 999.0 99.0 99.00
2018 06 01 10 04 350  3.6 99.0 99.00 99.00 99.00 999 1017.5  11.4  11.7 999.0 99.0 99.00
2018 06 01 11 04 340  4.1 99.0 99.00 99.00 99.00 999 1017.4  11.3  11.9 999.0 99.0 99.00
2018 06 01 13 15 360  2.6 99.0 99.00 99.00 99.00 999 1018.1  11.2  11.8 999.0 99.0 99.00
2018 06 01 14 04  10  3.1 99.0 99.00 99.00 99.00 999 1018.3  11.2  11.8 999.0 99.0 99.00
2018 06 01 15 04 360  3.6 99.0 99.00 99.00 99.00 999 1018.7  11.0  11.8 999.0 99.0 99.00
