#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 03 01 00 16 200  3.1 99.0 99.00 99.00 99.00 999 1021.7  11.0  11.2 999.0 99.0 99.00
2018 03 01 01 06 210  3.1 99.0 99.00 99.00 99.00 999 1021.4  11.0  10.9 999.0 99.0 99.00
2018 03 01 02 06 200  4.1 99.0 99.00 99.00 99.00 999 1021.3  11.0  10.9 999.0 99.0 99.00
2018 03 01 03 06 180  4.1 99.0 99.00 99.00 99.00 999 1021.2  11.2  10.9 999.0 99.0 99.00
2018 03 01 04 06 180  6.7 99.0 99.00 99.00 99.00 999 1020.8  11.1  10.7 999.0 99.0 99.00
2018 03 01 05 06 180  6.2 99.0 99.00 99.00 99.00 999 1020.7  11.2  10.9 999.0 99.0 99.00
2018 03 01 06 06 170  9.8 99.0 99.00 99.00 99.00 999 1020.1  11.2  10.9 999.0 99.0 99.00
2018 03 01 07 06 180  9.3 99.0 99.00 99.00 99.00 999 1019.5  11.3  10.8 999.0 99.0 99.00
2018 03 01 08 06 170  9.8 99.0 99.00 99.00 99.00 999 1018.8  11.2  10.9 999.0 99.0 99.00
2018 03 01 09 06 160 10.3 99.0 99.00 99.00 99.00 999 1018.5  11.2  11.0 999.0 99.0 99.00
2018 03 01 10 06 160 10.8 99.0 99.00 99.00 99.00 999 1018.2  11.0  10.9 999.0 99.0 99.00
2018 03 01 11 06 160 11.8 99.0 99.00 99.00 99.00 999 1017.1  11.1  10.9 999.0 99.0 99.00
2018 03 01 12 06 160 11.3 99.0 99.00 99.00 99.00 999 1016.4  11.3  10.8 999.0 99.0 99.00
2018 03 01 13 06 160 11.8 99.0 99.00 99.00 99.00 999 1015.5  11.3  10.8 999.0 99.0 99.00
2018 03 01 14 06 170 10.8 99.0 99.00 99.00 99.00 999 1015.5  11.4  10.8 999.0 99.0 99.00
2018 03 01 15 06 170  8.8 99.0 99.00 99.00 99.00 999 1014.8  11.7  10.8 999.0 99.0 99.00
2018 03 01 16 06 180  8.8 99.0 99.00 99.00 99.00 999 1014.9  11.8  10.8 999.0 99.0 99.00
2018 03 01 17 06 180  8.2 99.0 99.00 99.00 99.00 999 1014.5  12.0  10.8 999.0 99.0 99.00
2018 03 01 18 06 170 10.8 99.0 99.00 99.00 99.00 999 1014.1  12.2  10.8 999.0 99.0 99.00
2018 03 01 19 06 180  8.2 99.0 99.00 99.00 99.00 999 1014.6  12.0  10.8 999.0 99.0 99.00
2018 03 01 20 06 170 10.3 99.0 99.00 99.00 99.00 999 1013.6  12.0  10.9 999.0 99.0 99.00
2018 03 01 21 06 180 11.8 99.0 99.00 99.00 99.00 999 1012.6  12.0  10.9 999.0 99.0 99.00
2018 03 01 22 07 180 11.3 99.0 99.00 99.00 99.00 999 1012.0  12.0  10.9 999.0 99.0 99.00
2018 03 01 23 06 210  9.8 99.0 99.00 99.00 99.00 999 1012.7  11.9  10.9 999.0 99.0 99.00
2018 03 02 00 06 210  6.7 99.0 99.00 99.00 99.00 999 1012.6  11.6  10.9 999.0 99.0 99.00
2018 03 02 01 06 240  5.1 99.0 99.00 99.00 99.00 999 1012.3  11.9  10.9 999.0 99.0 99.00
2018 03 02 02 06 200  4.1 99.0 99.00 99.00 99.00 999 1011.7  11.7  10.9 999.0 99.0 99.00
2018 03 02 03 06 190  7.2 99.0 99.00 99.00 99.00 999 1011.3  11.6  10.9 999.0 99.0 99.00
2018 03 02 04 06 180  9.8 99.0 99.00 99.00 99.00 999 1011.2  11.8  10.9 999.0 99.0 99.00
2018 03 02 05 06 200  6.2 99.0 99.00 99.00 99.00 999 1011.7  11.7  10.8 999.0 99.0 99.00
2018 03 02 06 06 200  8.2 99.0 99.00 99.00 99.00 999 1011.9  12.1  10.8 999.0 99.0 99.00
2018 03 02 07 06 240  9.3 99.0 99.00 99.00 99.00 999 1012.6  10.9  10.8 999.0 99.0 99.00
2018 03 02 08 06 230  7.7 99.0 99.00 99.00 99.00 999 1012.2  10.4  10.8 999.0 99.0 99.00
2018 03 02 09 16 260  5.7 99.0 99.00 99.00 99.00 999 1013.6   9.4  10.8 999.0 99.0 99.00
2018 03 02 10 16 250  4.1 99.0 99.00 99.00 99.00 999 1014.0  10.5  10.8 999.0 99.0 99.00
2018 03 02 11 16 250  2.6 99.0 99.00 99.00 99.00 999 1014.0   9.9  10.8 999.0 99.0 99.00
