#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 11 07 01 40 999 99.0 99.0  1.89  9.88  7.80 301 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 02 10 999 99.0 99.0  1.82 10.53  7.20 298 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 02 40 999 99.0 99.0  1.65 10.53  6.64 308 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 03 10 999 99.0 99.0  1.99  9.88  7.13 294 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 03 40 999 99.0 99.0  1.91  9.88  6.81 294 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 04 10 999 99.0 99.0  1.83  9.09  6.39 292 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 04 40 999 99.0 99.0  1.99  9.88  6.38 297 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 05 40 999 99.0 99.0  1.95  9.88  6.12 304 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 06 10 999 99.0 99.0  1.80  9.09  5.76 297 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 06 40 999 99.0 99.0  1.98  9.88  6.00 299 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 07 10 999 99.0 99.0  1.89  9.88  5.73 302 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 07 40 999 99.0 99.0  1.88  9.88  5.87 298 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 08 10 999 99.0 99.0  1.79  9.09  5.61 301 9999.0 999.0  14.0 999.0 99.0 99.00
2008 11 07 08 40 999 99.0 99.0  1.80  9.09  5.72 299 9999.0 999.0  14.1 999.0 99.0 99.00
2008 11 07 09 10 999 99.0 99.0  1.75 10.53  5.83 308 9999.0 999.0  14.0 999.0 99.0 99.00
2008 11 07 09 40 999 99.0 99.0  1.75 10.53  5.68 311 9999.0 999.0  14.0 999.0 99.0 99.00
2008 11 07 10 10 999 99.0 99.0  1.70  9.88  5.71 315 9999.0 999.0  14.0 999.0 99.0 99.00
