#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 22 999 99.0 99.0  4.33 11.76 10.31 325 9999.0 999.0  12.7 999.0 99.0 99.00
2017 01 01 00 52 999 99.0 99.0  3.73 12.50  9.77 314 9999.0 999.0  12.7 999.0 99.0 99.00
2017 01 01 01 22 999 99.0 99.0  3.98 13.33 10.04 315 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 01 52 999 99.0 99.0  3.58 12.50  9.78 310 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 02 22 999 99.0 99.0  3.70 11.11  9.81 322 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 02 52 999 99.0 99.0  3.53 13.33  9.79 314 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 03 22 999 99.0 99.0  3.62 11.11  9.63 315 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 03 52 999 99.0 99.0  3.37 12.50  9.72 311 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 04 22 999 99.0 99.0  3.48 11.76  9.56 308 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 04 52 999 99.0 99.0  3.23 13.33  9.30 313 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 05 22 999 99.0 99.0  3.37 13.33  9.27 314 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 05 52 999 99.0 99.0  2.85 12.50  8.73 317 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 06 22 999 99.0 99.0  3.01 12.50  8.85 310 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 06 52 999 99.0 99.0  2.88 11.76  9.01 318 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 07 22 999 99.0 99.0  3.01 11.76  9.20 317 9999.0 999.0  12.6 999.0 99.0 99.00
2017 01 01 07 52 999 99.0 99.0  2.95 12.50  9.09 313 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 08 22 999 99.0 99.0  2.88 11.11  8.62 317 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 08 52 999 99.0 99.0  2.69 12.50  8.33 311 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 09 22 999 99.0 99.0  2.66 11.76  8.25 311 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 09 52 999 99.0 99.0  2.79 13.33  8.78 308 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 10 22 999 99.0 99.0  2.53 11.76  8.08 307 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 10 52 999 99.0 99.0  2.82 11.11  8.55 315 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 11 22 999 99.0 99.0  3.35 11.11  9.09 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 11 52 999 99.0 99.0  2.71 11.76  8.17 308 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 12 22 999 99.0 99.0  2.67 10.53  8.05 320 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 12 52 999 99.0 99.0  2.72 11.11  8.12 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 13 22 999 99.0 99.0  2.67 11.11  7.83 324 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 13 52 999 99.0 99.0  2.87 10.53  8.19 307 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 14 22 999 99.0 99.0  2.91 11.11  8.19 317 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 14 52 999 99.0 99.0  2.73 11.76  7.67 308 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 15 22 999 99.0 99.0  2.89 11.11  8.08 315 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 15 52 999 99.0 99.0  3.07 12.50  7.96 307 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 01 16 22 999 99.0 99.0  3.21  9.88  8.16 317 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 16 52 999 99.0 99.0  3.15 10.53  8.09 310 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 01 17 22 999 99.0 99.0  3.16 11.11  7.99 306 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 01 17 52 999 99.0 99.0  2.88 10.53  7.85 320 9999.0 999.0  12.4 999.0 99.0 99.00
2017 01 01 18 22 999 99.0 99.0  3.05  9.88  7.69 311 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 18 52 999 99.0 99.0  3.52 10.53  8.23 315 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 19 22 999 99.0 99.0  3.28 11.11  7.84 317 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 19 52 999 99.0 99.0  3.33 10.53  7.80 317 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 20 22 999 99.0 99.0  3.36 10.53  8.07 315 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 20 52 999 99.0 99.0  3.23 10.53  7.83 315 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 21 22 999 99.0 99.0  3.34 10.53  7.94 329 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 21 52 999 99.0 99.0  3.44 10.53  7.96 320 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 22 22 999 99.0 99.0  3.28 10.53  7.65 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 22 52 999 99.0 99.0  3.55 11.11  8.03 318 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 23 22 999 99.0 99.0  3.37  9.88  7.64 318 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 01 23 52 999 99.0 99.0  3.31  9.88  7.74 324 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 00 22 999 99.0 99.0  3.41 11.76  7.82 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 00 52 999 99.0 99.0  3.19  9.09  7.32 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 01 22 999 99.0 99.0  3.37 11.76  7.36 311 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 01 52 999 99.0 99.0  3.36  9.88  7.66 322 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 02 22 999 99.0 99.0  3.33 11.11  7.70 314 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 02 52 999 99.0 99.0  3.36  9.88  7.79 320 9999.0 999.0  12.5 999.0 99.0 99.00
2017 01 02 03 22 999 99.0 99.0  3.09  9.88  7.68 320 9999.0 999.0  12.5 999.0 99.0 99.00
