RecordIDNumber,RecDateTime,AirTemp_C_Avg,AirTemp_C_Min,AirTemp_C_TMn,AirTemp_C_Max,AirTemp_C_TMx,RH_Avg,Barometer_kPa,BatVolt_V,BatVolt_V_Min,ETo,RainYearly_mm,SnowYearly_mm,Solar_Avg,WindSpeed_ms_Avg,WindSpeed_ms_Max,WindSpeed_ms_TMx,WindSpeed_ms_WVc1,WindSpeed_ms_WVc2
-1,2018-08-08 09:31:28,12.1,12.1,2018-08-08 09:31:28,12.1,2018-08-08 09:31:28,100,101.54,13.58,13.58,0,24536,0,0,391,0.7,0.7,2018-08-08 09:31:28,0.7,91
-1,2018-08-08 09:36:24,12.4,12.4,2018-08-08 09:36:24,12.4,2018-08-08 09:36:24,100,101.55,13.57,13.57,0,24536,0,0,332,0,0,2018-08-08 09:36:24,0,0
-1,2018-08-08 09:41:24,12.3,12.3,2018-08-08 09:41:24,12.3,2018-08-08 09:41:24,100,101.55,13.55,13.55,0,24536,0,0,368,0,0,2018-08-08 09:41:24,0,0
-1,2018-08-08 09:46:24,12,12,2018-08-08 09:46:24,12,2018-08-08 09:46:24,100,101.56,13.57,13.57,0,24536,0,0,357,0.9,0.9,2018-08-08 09:46:24,0.9,136
-1,2018-08-08 09:51:24,12.1,12.1,2018-08-08 09:51:24,12.1,2018-08-08 09:51:24,100,101.56,13.55,13.55,0,24536,0,0,363,2.7,2.7,2018-08-08 09:51:24,2.7,140
-1,2018-08-08 09:56:24,12.3,12.3,2018-08-08 09:56:24,12.3,2018-08-08 09:56:24,100,101.57,13.56,13.56,0,24536,0,0,437,1,1,2018-08-08 09:56:24,1,190
11053,2018-08-08 10:00:00,12,11.6,1904-01-01 00:00:00,12.5,1904-01-01 00:00:00,100,101.56,0,13.53,0.27,24536,0,0,337,1.09,2.7,2018-08-08 09:52:30,1.09,101
-1,2018-08-08 10:01:13,12.4,12.4,2018-08-08 10:01:13,12.4,2018-08-08 10:01:13,100,101.56,13.53,13.53,0.16,24536,0,0,392,0.7,0.7,2018-08-08 10:01:13,0.7,123
-1,2018-08-08 10:06:39,12.4,12.4,2018-08-08 10:06:39,12.4,2018-08-08 10:06:39,100,101.55,13.55,13.55,0.16,24536,0,0,489,1.6,1.6,2018-08-08 10:06:39,1.6,154
-1,2018-08-08 10:11:34,12.7,12.7,2018-08-08 10:11:34,12.7,2018-08-08 10:11:34,100,101.56,13.54,13.54,0.16,24536,0,0,585,0.7,0.7,2018-08-08 10:11:34,0.7,194
