Date,IFCB,Station Number,Distance from 36,Calculated Chlorophyll,Calculated Oxygen,Optical Backscatter,Calculated SPM,Salinity,Temperature,Nitrite,Nitrate + Nitrite,Ammonium,Phosphate,Silicate,Measured Extinction Coefficient
MM/DD/YYYY,,,[km],[mg/m3],[mg/L],[volts],[mg/L],[psu],[。],[然],[然],[然],[然],[然],[per meter]
1/15/13,,36,0,4,8,2.27,91,20.79,8.73,2.36,78.38,12.06,7.52,,
1/15/13,,35,1.66,3.9,8.9,2.13,85,21.15,8.28,,,,,,
1/15/13,,34,3.53,4.9,8.8,3.05,119,20.31,7.32,,,,,,
1/15/13,,33,6.81,3.8,8.8,2.52,100,21.66,8.5,,,,,,
1/15/13,,32,8.15,3.4,8.8,2.11,85,21.89,8.65,2.29,66.93,10.59,6.53,,
1/15/13,,31,10.61,3.2,8.8,1.8,73,22.12,8.77,,,,,,
1/15/13,,30,14.75,2.8,8.8,1.58,65,22.47,8.97,2.34,45.41,10.47,5.51,,
1/15/13,,29,20.25,2.4,8.7,1.44,60,22.59,9.13,,,,,,2.67
1/15/13,,28,23.57,2.4,8.7,1.96,79,22.7,9.2,,,,,,4.32
1/15/13,,27,26.19,2.4,8.8,1.96,79,22.75,9.09,2.05,38.17,11.21,4.76,,3.49
1/15/13,,26,28.76,2.1,8.8,1.06,46,22.9,9.09,,,,,,2.9
1/15/13,,25,32.84,2.3,8.8,1.14,49,23.2,9.22,,,,,,2.8
1/15/13,,24,37.09,1.9,8.7,0.69,33,23.69,9.5,1.63,32.21,9.62,3.84,,1.96
1/15/13,,23,39.66,1.8,8.6,0.56,28,24.25,9.78,,,,,,1.74
1/15/13,,22,43.92,1.8,8.4,0.34,20,24.89,9.96,,,,,,1.21
1/15/13,,21,46.63,1.7,8.4,0.38,22,24.85,9.94,1.22,25.05,8.12,2.92,,1.26
1/15/13,,20,51.45,1.3,8.1,0.36,13,25.79,10.22,,,,,,1.28
1/15/13,,18,54.95,1.4,8.1,0.37,13,25.71,10.11,0.83,21.04,5.12,2.3,,1.24
1/15/13,,17,58.89,1.8,8.7,0.54,18,21.29,9.36,,,,,,1.82
1/15/13,,16,63.08,2,9,0.67,21,19.22,9.03,,,,,,2.09
1/15/13,,15,69.99,2.1,9.3,0.69,21,16.42,8.63,0.77,25.86,6.42,2.34,,2.07
1/15/13,,14,74.43,1.9,9.1,0.6,19,16.43,8.96,,,,,,1.83
1/15/13,,13,78.54,2.1,9.1,0.69,22,16.6,9.02,0.78,25.62,6.47,2.31,,1.9
1/15/13,,12,84.45,2.1,9.6,0.84,26,10.22,8.24,,,,,,2.46
1/15/13,,11,89.77,0.5,9.7,1.13,33,8.01,7.96,,,,,,2.81
1/15/13,,10,93.6,0.6,10.1,1.65,47,4.61,7.49,,,,,,3.7
1/15/13,,9,96.79,0.8,10.2,1.91,54,3.31,7.34,0.77,31.42,9.8,2.11,,4.91
1/15/13,,6,110.9,0.9,10.5,2.24,62,0.5,7.07,0.65,33.33,9.26,2.05,,5.7
1/15/13,,3,125.32,2.2,10.4,1.12,33,0.11,7.1,0.5,30.53,9.66,2.05,,3.05
1/15/13,,649,132.94,1.8,10.5,0.93,28,0.11,7.2,0.42,26.62,10.52,1.89,,2.22
1/15/13,,657,147.25,2,10.7,0.96,29,0.11,6.84,0.37,25.69,12.97,1.97,,2.38
2/26/13,,34,3.53,160.4,,3.43,183,19.87,11.71,2.04,25.11,1.29,4.54,,
2/26/13,,33,6.81,147.9,13,2.6,137,20.77,12.15,,,,,,
2/26/13,,32,8.15,117.7,12.6,2.03,106,21.46,12.16,1.36,16.64,0.76,3.89,,
2/26/13,,31,10.61,82.3,11.9,1.84,96,22.31,12.24,,,,,,
2/26/13,,30,14.75,55.2,11,1.28,65,23.06,12.13,1.05,20.94,0.9,3.89,,3.68
2/26/13,,29,20.25,11.1,9.7,0.75,36,24.12,11.8,,,,,,1.98
2/26/13,,28,23.57,7.5,9.4,0.69,33,24.43,11.7,,,,,,1.84
2/26/13,,27,26.19,5.2,9.2,0.54,24,24.67,11.57,1.19,29.06,5.15,3.89,,1.58
2/26/13,,26,28.76,4.1,9,0.31,12,25.11,11.41,,,,,,1.1
2/26/13,,25,32.84,4,8.7,0.52,24,25.85,11.47,,,,,,1.5
2/26/13,,24,37.09,4.1,8.5,0.32,13,26.76,11.44,1.2,28.04,8.05,2.94,,1.13
2/26/13,,23,39.66,4.4,8.5,0.29,11,26.55,11.47,,,,,,1.08
2/26/13,,22,43.92,3.5,7.9,0.27,10,28.38,11.1,,,,,,0.91
2/26/13,,21,46.63,3.1,7.9,0.32,12,28.1,11,0.8,23.52,5.04,2.34,,0.99
2/26/13,,20,51.45,3.4,7.6,0.22,7,29.15,10.94,,,,,,0.48
2/26/13,,18,54.95,3,7,0.34,13,30.74,10.56,0.7,22.84,3.19,2.15,,0.95
2/26/13,,17,58.89,3.3,7.8,0.27,10,28.38,10.91,,,,,,0.67
2/26/13,,16,63.08,3.1,7.6,0.43,18,29.08,10.84,,,,,,1.13
2/26/13,,15,69.99,3.5,8.5,0.32,12,24.3,11.22,0.82,25.39,4.6,2.31,,1.08
2/26/13,,14,74.43,3.7,8.5,0.32,12,24.21,11.28,,,,,,0.85
2/26/13,,13,78.54,2.8,8.5,0.42,20,23.76,11.37,0.83,25.71,4.68,2.33,,1.16
2/26/13,,12,84.45,2.5,9.1,0.31,15,18.16,11.69,,,,,,1.06
2/26/13,,11,89.77,2.9,9.4,0.41,19,15.22,11.9,,,,,,1.28
2/26/13,,10,93.6,2.7,9.2,0.5,23,16.02,11.36,,,,,,1.42
2/26/13,,9,96.79,2.7,9.2,0.63,28,15.7,11.36,1,30.28,7.27,2.45,,1.82
2/26/13,,8,99.77,2.6,9.3,0.7,30,13.14,11.36,,,,,,1.85
2/26/13,,6,110.9,3.4,10.1,1.18,49,5.97,11.53,1.07,34.22,10.35,2.34,,2.54
2/26/13,,3,125.32,3.3,10.4,1.31,38,0.65,10.97,0.76,33.63,7.97,2.02,,2.5
2/26/13,,649,132.94,2.8,10.4,0.99,28,0.17,10.96,0.7,30.36,9.18,1.79,,1.89
2/26/13,,657,147.25,2.3,10.5,0.61,16,0.12,10.58,0.6,21.37,19.33,1.82,,1.51
3/12/13,,18,54.95,5.6,8.3,0.36,11,28.85,11.88,0.8,21.71,4.99,2.24,,1.03
3/12/13,,20,51.45,5.3,8.3,0.3,7,28.38,11.95,,,,,,0.96
3/12/13,,21,46.63,5.2,8.3,0.48,20,28.69,11.98,0.82,21.76,4.77,2.29,,1.25
3/12/13,,22,43.92,5.7,8.2,0.63,32,28.85,11.95,,,,,,1.58
3/12/13,,23,39.66,6.8,8.4,0.43,16,28,12.4,,,,,,1.21
3/12/13,,24,37.09,5.5,8.3,0.42,15,27.66,12.52,1.06,24.67,7.47,2.81,,1.23
3/12/13,,25,32.84,4.4,8.3,0.46,19,27.52,12.63,,,,,,1.31
3/12/13,,26,28.76,3.5,8.4,0.51,23,27.11,12.62,,,,,,1.4
3/12/13,,27,26.19,3.5,8.4,1.09,66,26.52,12.65,1.06,26.2,5.98,3.24,,2.32
3/12/13,,28,23.57,3.6,8.4,1.06,64,26.2,12.78,,,,,,2.32
3/12/13,,29,20.25,3.2,8.3,0.8,44,25.88,13.05,,,,,,2.12
3/12/13,,30,14.75,3.1,8.3,0.78,26,25.48,13.13,1.12,24.37,6.61,3.71,,2.04
3/12/13,,31,10.61,3.8,8.2,0.82,27,25.21,13.52,,,,,,2.32
3/12/13,,32,8.15,5.5,7.9,1.45,55,24.61,13.85,1.29,24.86,6.52,4.27,,3.69
3/12/13,,33,6.81,5.4,8,0.88,30,24.22,14.36,,,,,,2.74
3/12/13,,34,3.53,7.7,7.7,1.73,67,23.97,13.97,,,,,,3.42
3/12/13,,35,1.66,7.3,7.7,1.79,70,23.61,14.24,,,,,,3.28
3/12/13,,36,0,9.7,7.5,1.88,74,23.08,14.44,1.96,35.29,7.08,5.72,,3.44
3/19/13,,36,0,,,0.91,40,,,2.2,40.02,6.89,6.47,,2.35
3/19/13,,35,1.66,7.1,7.2,0.96,43,23.43,14.61,,,,,,2.38
3/19/13,,34,3.53,7.6,7.2,1.13,52,23.34,14.27,,,,,,3.22
3/19/13,,33,6.81,7.1,7.5,0.61,26,23.82,14.43,,,,,,2.11
3/19/13,,32,8.15,7,7.5,0.67,29,24.03,14.53,1.63,31.65,5.34,5.42,,2.16
3/19/13,,31,10.61,6.4,7.7,0.5,20,24.42,14.53,,,,,,1.7
3/19/13,,30,14.75,4.9,7.9,0.37,14,24.86,14.26,1.38,26.32,7.11,4.46,,1.27
3/19/13,,29,20.25,2.2,7.9,0.34,13,25.45,14.07,,,,,,1.53
3/19/13,,28,23.57,2.5,8.3,0.24,7,25.78,14.03,,,,,,0.84
3/19/13,,27,26.19,4.3,8.5,0.19,5,25.95,13.92,1.2,25.07,6.3,3.72,,0.76
3/19/13,,26,28.76,3.2,8.5,0.18,5,26.4,13.96,,,,,,0.72
3/19/13,,25,32.84,3.3,8.4,0.18,5,26.34,13.85,,,,,,0.67
3/19/13,,24,37.09,3.2,8.6,0.16,4,26.71,13.79,1.08,25.12,6.18,3.07,,0.79
3/19/13,,23,39.66,2.9,8.3,0.19,5,27.56,13.37,,,,,,0.66
3/19/13,,22,43.92,3,8.3,0.2,6,27.98,13.07,,,,,,0.68
3/19/13,,21,46.63,5.3,8.4,0.21,6,27.45,13.35,1.18,23.67,10.97,2.95,,0.89
3/19/13,,20,51.45,5.5,8.5,0.22,7,27.55,13.32,,,,,,0.76
3/19/13,,18,54.95,4.4,8,0.33,12,28.47,12.36,0.74,20.93,3.81,2.15,,1.08
3/26/13,,34,3.53,17.9,7,4.9,228,21.13,14.96,3.68,85.85,5.3,10.66,,
3/26/13,,33,6.81,15.3,7.3,2.3,105,22.04,15.31,,,,,,
3/26/13,,32,8.15,13.9,7.5,1.35,60,23.31,15.28,1.92,53.67,4.07,7.76,,
3/26/13,,31,10.61,12,7.6,1.3,58,24.04,15.15,,,,,,
3/26/13,,30,14.75,8.9,7.8,0.9,39,24.82,15.04,1.44,31.59,5.21,5.44,,
3/26/13,,29,20.25,6,8.1,0.65,27,25.46,14.76,,,,,,1.75
3/26/13,,28,23.57,4.9,8.2,0.58,24,25.84,14.5,,,,,,1.69
3/26/13,,27,26.19,4.3,8.3,0.55,23,26.07,14.41,1.18,23.83,6.77,4.02,,1.6
3/26/13,,26,28.76,3.6,8.3,0.36,14,26.47,14.11,,,,,,1.14
3/26/13,,25,32.84,3.9,8.3,0.7,30,27.15,13.59,,,,,,1.69
3/26/13,,24,37.09,3.9,8.2,0.38,15,27.68,13.39,1.09,24.51,6.94,2.96,,1.14
3/26/13,,23,39.66,7.1,8.2,0.31,16,27.38,13.76,,,,,,1.09
3/26/13,,22,43.92,5.4,7.6,0.51,23,28.91,12.43,,,,,,1.43
3/26/13,,21,46.63,5.7,7.7,0.33,16,28.8,12.42,0.74,21.32,4.92,2.3,,1.07
3/26/13,,20,51.45,3.9,7.5,0.21,12,29.68,12.02,,,,,,0.72
3/26/13,,18,54.95,8.4,6.9,0.31,16,31,11.26,0.63,21.66,3.29,2.17,,0.97
3/26/13,,17,58.89,4.5,7.7,0.24,13,28.33,12.48,,,,,,0.79
3/26/13,,16,63.08,4.1,7.4,0.3,15,29.38,12.1,,,,,,1.02
3/26/13,,15,69.99,2.9,8.2,0.26,14,25.11,13.3,0.73,21.43,3.89,2.28,,0.99
3/26/13,,14,74.43,3.4,8,0.29,15,25.84,13.15,,,,,,1
3/26/13,,13,78.54,3.2,8.1,0.8,33,24.95,13.29,0.74,22.05,3.75,2.32,,1.9
3/26/13,,12,84.45,3.5,8.2,0.82,34,23.01,13.61,,,,,,2.12
3/26/13,,11,89.77,4,8.7,0.26,14,18.82,15,,,,,,0.94
3/26/13,,10,93.6,2.4,8.6,0.59,26,18.87,14.06,,,,,,1.48
3/26/13,,9,96.79,1.9,8.6,0.54,24,17.79,14.25,0.84,25.19,5.09,2.33,,1.61
3/26/13,,6,110.9,2.6,9.2,0.8,33,8.39,14.68,0.87,28.78,5.22,2.04,,2.21
3/26/13,,3,125.32,17.8,9.8,1.84,70,2.39,14.67,0.85,27.36,2.93,1.61,,5.02
3/26/13,,649,132.94,51.6,10.1,1.61,62,0.63,14.86,0.85,26.06,3.79,1.64,,4.1
3/26/13,,657,147.25,4,9.5,0.51,23,0.1,14.5,0.82,21.6,15.78,1.91,,1.35
4/18/13,,36,0,8.2,7.8,1.05,33,25.47,14.09,2.01,44.79,7.02,6.88,,2.37
4/18/13,,35,1.66,8,7.8,0.95,30,25.69,14.31,,,,,,2.16
4/18/13,,34,3.53,7.6,7.6,1.59,52,25.92,14.46,,,,,,3.83
4/18/13,,33,6.81,7,7.8,0.98,31,26.19,14.54,,,,,,2.26
4/18/13,,32,8.15,7.2,7.8,0.83,26,26.37,14.54,1.54,35.28,6.69,5.79,,2.11
4/18/13,,31,10.61,6.6,7.9,0.63,19,26.71,14.8,,,,,,1.97
4/18/13,,30,14.75,6.3,8.1,0.48,13,26.91,14.47,1.3,31.3,6.18,4.91,,1.11
4/18/13,,29.5,17.56,6.2,8.1,0.47,18,27.07,14.68,,,,,,1.75
4/18/13,,29,20.25,5.5,8.1,0.46,17,27.1,14.6,,,,,,1.44
4/18/13,,28,23.57,6.1,8,0.4,15,27.21,14.55,,,,,,0.9
4/18/13,,27,26.19,5.5,8.1,0.4,15,27.25,14.67,1.84,29.43,7.74,4.77,,1.47
4/18/13,,26,28.76,6,8,0.53,21,27.25,14.86,,,,,,1.92
4/18/13,,25,32.84,5.8,8.1,0.57,22,27.38,14.81,,,,,,1.04
4/18/13,,24,37.09,5.7,8.1,0.47,18,27.68,14.75,1.91,30.39,7.42,4.97,,1.36
4/18/13,,23,39.66,4.4,8,0.36,13,27.7,15.06,,,,,,0.87
4/18/13,,22,43.92,5.1,8.4,0.23,8,27.35,14.09,,,,,,0.79
4/18/13,,21,46.63,4.7,8.4,0.22,7,27.46,14.61,1.48,25.13,8.97,3.55,,0.85
4/18/13,,20,51.45,4.7,8,0.34,12,27.9,14.53,,,,,,0.87
4/18/13,,18,54.95,4.3,7.8,0.43,16,27.88,12.93,1.23,29.19,5.22,3.46,,1.08
4/23/13,,34,3.53,12.5,6.4,2.33,95,22.92,19.61,2.57,85.9,5.53,9.99,,
4/23/13,,33,6.81,9.7,6.9,0.94,38,24.56,19.25,,,,,,
4/23/13,,32,8.15,8.1,7.2,0.63,25,25.5,18.87,1.92,53.56,3.47,7.47,,1.87
4/23/13,,31,10.61,7,7.2,0.64,25,26.08,18.53,,,,,,2.22
4/23/13,,30,14.75,5.6,7.2,0.61,24,26.72,17.76,0.92,23.52,5.58,5.66,,1.89
4/23/13,,29,20.25,4.6,7.4,0.65,26,27.12,16.83,,,,,,1.79
