st,filename
36,D20170731T145700_IFCB113
32,D20170731T153836_IFCB113
27,D20170731T163736_IFCB113
22,D20170731T173124_IFCB113
18,D20170731T180731_IFCB113
36,D20170822T140529_IFCB113
32,D20170822T145249_IFCB113
27,D20170822T155531_IFCB113
22,D20170822T170153_IFCB113
18,D20170822T174357_IFCB113
6,D20170822T204004_IFCB113
657,D20170822T222713_IFCB113
36,D20170830T150049_IFCB113
32,D20170830T153811_IFCB113
27,D20170830T164243_IFCB113
22,D20170830T174229_IFCB113
18,D20170830T181623_IFCB113
34,D20170919T140234_IFCB113
32,D20170919T142725_IFCB113
27,D20170919T152658_IFCB113
22,D20170919T163001_IFCB113
18,D20170919T171446_IFCB113
6,D20170919T200313_IFCB113
657,D20170919T214922_IFCB113
36,D20170928T150121_IFCB113
32,D20170928T154222_IFCB113
27,D20170928T164716_IFCB113
22,D20170928T174901_IFCB113
18,D20170928T182517_IFCB113
36,D20171018T140939_IFCB113
32,D20171018T143430_IFCB113
27,D20171018T152919_IFCB113
22,D20171018T163327_IFCB113
18,D20171018T171545_IFCB113
6,D20171018T201344_IFCB113
657,D20171018T215918_IFCB113
36,D20171027T190522_IFCB113
32,D20171027T153806_IFCB113
27,D20171027T163925_IFCB113
22,D20171027T174018_IFCB113
18,D20171027T181511_IFCB113
36,D20171206T150633_IFCB113
32,D20171206T154509_IFCB113
27,D20171206T164136_IFCB113
22,D20171206T174311_IFCB113
18,D20171206T190135_IFCB113
15,D20171206T192106_IFCB113
13,D20171206T194540_IFCB113
9,D20171206T204007_IFCB113
6,D20171206T212807_IFCB113
3,D20171206T220846_IFCB113
649,D20171206T223512_IFCB113
657,D20171206T231801_IFCB113
36,D20180207T150852_IFCB113
32,D20180207T155302_IFCB113
27,D20180207T164532_IFCB113
22,D20180207T173745_IFCB113
18,D20180207T181511_IFCB113
15,D20180207T191301_IFCB113
13,D20180207T194237_IFCB113
9,D20180207T204909_IFCB113
6,D20180207T215059_IFCB113
3,D20180207T224414_IFCB113
649,D20180207T231620_IFCB113
657,D20180208T000516_IFCB113
36,D20180223T160324_IFCB113
32,D20180223T163952_IFCB113
27,D20180223T174100_IFCB113
22,D20180223T183424_IFCB113
18,D20180223T192711_IFCB113
36,D20180309T160603_IFCB113
32,D20180309T164516_IFCB113
27,D20180309T175301_IFCB113
22,D20180309T185122_IFCB113
18,D20180309T192827_IFCB113
36,D20180315T142722_IFCB113
32,D20180315T151419_IFCB113
27,D20180315T161819_IFCB113
22,D20180315T171851_IFCB113
18,D20180315T175935_IFCB113
15,D20180315T184752_IFCB113
13,D20180315T191845_IFCB113
9,D20180418T191458_IFCB113
6,D20180315T210452_IFCB113
3,D20180315T214518_IFCB113
649,D20180315T220956_IFCB113
36,D20180326T145749_IFCB113
32,D20180326T154057_IFCB113
27,D20180326T164348_IFCB113
22,D20180326T174202_IFCB113
18,D20180326T181942_IFCB113
36,D20180409T150044_IFCB113
32,D20180409T154228_IFCB113
27,D20180409T164154_IFCB113
22,D20180409T174409_IFCB113
18,D20180409T181825_IFCB113
32,D20180418T141715_IFCB113
27,D20180418T151155_IFCB113
22,D20180418T160959_IFCB113
18,D20180418T165013_IFCB113
15,D20180418T174257_IFCB113
13,D20180418T180951_IFCB113
9,D20180418T191458_IFCB113
6,D20180418T200530_IFCB113
3,D20180418T205109_IFCB113
649,D20180418T211535_IFCB113
657,D20180418T220130_IFCB113
