#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2017 12 31 23 00 173  3.9 999 99.0 9999
2017 12 31 23 10 167  3.6 999 99.0 9999
2017 12 31 23 20 166  3.7 999 99.0 9999
2017 12 31 23 30 168  3.5 999 99.0 9999
2017 12 31 23 40 173  2.8 999 99.0 9999
2017 12 31 23 50 175  2.6 171  4.9 2252
2018 01 01 00 00 173  2.4 999 99.0 9999
2018 01 01 00 10 168  2.0 999 99.0 9999
2018 01 01 00 20 158  2.1 999 99.0 9999
2018 01 01 00 30 169  2.4 999 99.0 9999
2018 01 01 00 40 170  3.1 999 99.0 9999
2018 01 01 00 50 163  3.4 161  4.6 0046
2018 01 01 01 00 155  3.3 999 99.0 9999
2018 01 01 01 10 165  3.6 999 99.0 9999
2018 01 01 01 20 173  4.7 999 99.0 9999
2018 01 01 01 30 173  4.2 999 99.0 9999
2018 01 01 01 40 179  4.1 999 99.0 9999
2018 01 01 01 50 175  3.5 179  5.8 0119
2018 01 01 02 00 186  4.2 999 99.0 9999
2018 01 01 02 10 181  3.8 999 99.0 9999
2018 01 01 02 20 189  3.4 999 99.0 9999
2018 01 01 02 30 186  3.1 999 99.0 9999
2018 01 01 02 40 183  3.0 999 99.0 9999
2018 01 01 02 50 180  2.9 191  5.1 0155
2018 01 01 03 00 173  2.4 999 99.0 9999
2018 01 01 03 10 165  2.7 999 99.0 9999
2018 01 01 03 20 176  2.4 999 99.0 9999
2018 01 01 03 30 172  2.4 999 99.0 9999
2018 01 01 03 40 167  2.8 999 99.0 9999
2018 01 01 03 50 170  2.9 183  4.3 0336
2018 01 01 04 00 161  2.9 999 99.0 9999
2018 01 01 04 10 165  3.1 999 99.0 9999
2018 01 01 04 20 158  2.9 999 99.0 9999
2018 01 01 04 30 167  1.8 999 99.0 9999
2018 01 01 04 40 164  1.5 999 99.0 9999
2018 01 01 04 50 166  2.2 161  4.4 0358
2018 01 01 05 00 143  2.3 999 99.0 9999
