year,month,day,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1988,1,1,-0.013,0.12,0.181,-0.043,-0.042,-0.127,0.126,0.24,-0.159,-0.363,-0.306,0.009,-0.264,-0.412,-0.132,0.123,-0.368
1988,1,2,-0.048,0.025,0.015,-0.44,-0.755,-0.772,-0.914,-0.871,-0.718,-0.791,-0.678,-0.221,-0.286,-0.454,0.093,0.04,-0.261
1988,1,3,-0.576,-0.695,-1.076,-0.514,-0.746,-1.99,-0.958,-2.002,-1.724,-1.444,-1.338,-0.88,-0.789,-0.471,0.021,0.037,-0.233
1988,1,4,-0.528,0.135,0.01,0.2,0.743,-0.226,0.211,-0.052,-0.202,-0.369,-0.64,-0.568,-0.652,-0.227,-0.009,0.19,-0.068
1988,1,5,-0.357,0.172,-0.193,-0.082,0.343,-0.563,0.115,0.205,0.301,0.198,0.117,0.507,0.085,0.275,0.046,-0.259,-0.127
1988,1,6,-0.042,0.279,0.099,0.015,0.483,-0.014,0.379,0.583,0.632,0.081,-0.007,0.465,-0.173,0.215,0.025,0.416,0.306
1988,1,7,-0.353,0.008,-0.134,0.046,0.314,-0.179,-0.101,0.261,0.119,-0.094,-0.133,0.29,0.011,0.099,0.32,0.331,0.577
1988,1,8,-0.226,0.128,-0.062,-0.094,-0.056,-0.143,-0.139,0.108,0.213,0.091,0.058,0.641,0.252,0.32,0.572,0.517,0.737
1988,1,9,-0.497,-0.133,-0.469,-0.432,-0.398,-0.387,-0.467,-0.15,0.043,-0.203,-0.019,0.237,0.152,0.311,0.285,0.494,0.54
1988,1,10,-0.039,0.126,0.029,0.062,0.127,-0.871,-0.756,-0.308,-0.359,-0.242,-0.046,0.355,0.212,0.117,0.201,0.364,0.041
1988,1,11,0.557,0.732,1.109,0.851,1.351,0.86,0.266,0.709,0.709,0.466,0.493,1.096,0.918,0.764,0.796,0.689,0.515
1988,1,12,-1.726,-1.368,-1.818,-1.26,-1.779,-1.265,-0.64,-0.192,0.042,0.138,0.403,0.975,0.63,0.594,0.578,0.368,0.636
1988,1,13,-1.561,-0.289,-0.655,-0.012,-0.694,-0.879,-0.791,-0.874,-0.578,-0.283,-0.063,0.144,0.062,0.053,0.108,-0.137,0.397
1988,1,14,-2.59,-1.115,-2.319,-1.279,-2.757,-2.754,-1.716,-1.506,-0.995,-0.36,-0.02,0.002,0.037,-0.197,0.428,0.075,0.141
1988,1,15,-0.856,0.214,-0.459,0.009,-0.575,-0.52,-0.176,0.101,0.175,0.061,0.074,0.175,0.167,0.267,0.474,0.013,0.288
1988,1,16,0.011,0.823,0.467,0.285,0.41,0.422,0.449,0.494,0.414,0.206,0.085,0.257,0.118,0.292,0.258,0.146,0.217
1988,1,17,-0.157,0.266,0.377,0.237,0.504,0.445,0.712,1.476,1.831,1,1,2.197,2.957,2.774,-0.044,-0.586,0.233
1988,1,18,0.157,0.421,0.649,0.214,0.735,0.791,0.378,1.25,2.165,1.984,2.597,5.015,4.248,3.8,3.98,3.599,4.715
