#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 01 00 10 999 99.0 99.0  1.90 12.50  9.45 284 9999.0 999.0  13.5 999.0 99.0 99.00
2010 01 01 00 40 999 99.0 99.0  1.91 12.50  9.48 291 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 01 10 999 99.0 99.0  1.93 12.50  9.27 290 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 01 40 999 99.0 99.0  1.88 11.76  9.47 301 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 02 10 999 99.0 99.0  1.89 11.76  9.25 287 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 02 40 999 99.0 99.0  2.04 11.76  9.52 284 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 03 10 999 99.0 99.0  1.77 12.50  9.15 288 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 03 40 999 99.0 99.0  2.01 12.50  9.45 287 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 04 10 999 99.0 99.0  2.01 11.76  9.74 288 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 04 40 999 99.0 99.0  1.92 12.50  9.84 287 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 05 10 999 99.0 99.0  1.85 13.33  9.47 283 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 05 40 999 99.0 99.0  1.67 11.76  8.99 283 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 06 10 999 99.0 99.0  2.01 11.76  9.70 291 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 06 40 999 99.0 99.0  1.97 13.33  9.86 287 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 07 10 999 99.0 99.0  1.95 11.76  9.48 283 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 07 40 999 99.0 99.0  1.81 13.33  9.56 283 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 08 10 999 99.0 99.0  1.86 11.11  9.60 292 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 08 40 999 99.0 99.0  1.84 11.76  9.45 290 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 09 10 999 99.0 99.0  1.95 12.50  9.68 285 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 09 40 999 99.0 99.0  1.77 11.76  9.25 281 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 10 10 999 99.0 99.0  1.85 13.33  9.60 274 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 10 40 999 99.0 99.0  2.03 11.76  9.87 273 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 11 10 999 99.0 99.0  1.84 12.50  9.36 281 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 11 40 999 99.0 99.0  1.69 11.76  9.34 280 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 12 10 999 99.0 99.0  1.91 13.33  9.66 288 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 12 40 999 99.0 99.0  1.87 12.50  9.83 278 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 13 10 999 99.0 99.0  1.66 11.76  9.38 288 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 13 40 999 99.0 99.0  1.78 12.50  9.68 278 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 14 10 999 99.0 99.0  1.88 12.50  9.71 285 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 14 40 999 99.0 99.0  1.71 12.50  9.36 280 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 15 10 999 99.0 99.0  1.74 12.50  9.77 276 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 15 40 999 99.0 99.0  1.85 12.50  9.61 281 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 16 10 999 99.0 99.0  1.89 11.76 10.02 285 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 01 16 40 999 99.0 99.0  1.71 11.76  9.53 280 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 01 17 10 999 99.0 99.0  1.78 11.11  9.37 285 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 01 17 40 999 99.0 99.0  1.96 11.76  9.56 290 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 18 10 999 99.0 99.0  1.95 10.53  9.50 294 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 18 40 999 99.0 99.0  2.07 11.76  9.43 294 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 19 10 999 99.0 99.0  2.15 12.50  9.35 298 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 19 40 999 99.0 99.0  2.43 11.11  9.87 292 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 20 10 999 99.0 99.0  2.39 11.11  9.69 304 9999.0 999.0  13.4 999.0 99.0 99.00
2010 01 01 20 40 999 99.0 99.0  2.54 11.76  9.86 287 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 21 10 999 99.0 99.0  2.53 10.53  9.36 285 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 21 40 999 99.0 99.0  2.67 11.11  9.62 287 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 22 10 999 99.0 99.0  2.81 11.11  9.32 287 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 22 40 999 99.0 99.0  2.72 11.76  9.34 290 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 01 23 10 999 99.0 99.0  2.91 11.11  9.47 284 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 01 23 40 999 99.0 99.0  3.25 10.53  9.73 294 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 00 10 999 99.0 99.0  2.73 10.53  9.40 290 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 00 40 999 99.0 99.0  2.94  9.88  9.30 297 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 01 10 999 99.0 99.0  2.94 11.11  9.34 294 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 01 40 999 99.0 99.0  2.67 11.76  9.08 281 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 02 10 999 99.0 99.0  3.08 12.50  9.45 281 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 03 10 999 99.0 99.0  2.67 10.53  8.92 287 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 03 40 999 99.0 99.0  2.88 11.76  9.31 276 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 04 10 999 99.0 99.0  2.51 11.11  8.85 280 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 04 40 999 99.0 99.0  2.65 10.53  8.84 287 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 05 10 999 99.0 99.0  2.83 11.76  9.21 287 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 05 40 999 99.0 99.0  2.85 10.53  9.20 281 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 06 10 999 99.0 99.0  2.64 13.33  9.31 278 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 06 40 999 99.0 99.0  2.67 11.76  9.59 290 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 07 10 999 99.0 99.0  2.95 18.18 10.46 309 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 07 40 999 99.0 99.0  3.18 18.18 11.08 301 9999.0 999.0  13.3 999.0 99.0 99.00
2010 01 02 08 10 999 99.0 99.0  3.72 16.67 12.14 307 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 09 10 999 99.0 99.0  4.23 16.67 12.52 301 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 09 40 999 99.0 99.0  3.88 16.67 12.32 302 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 10 10 999 99.0 99.0  4.42 16.67 12.48 308 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 10 40 999 99.0 99.0  5.23 16.67 13.47 304 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 11 10 999 99.0 99.0  4.83 16.67 12.68 305 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 11 40 999 99.0 99.0  4.91 14.29 12.52 304 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 12 10 999 99.0 99.0  5.30 15.38 12.66 301 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 12 40 999 99.0 99.0  5.47 15.38 12.58 302 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 13 40 999 99.0 99.0  5.12 15.38 12.24 304 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 14 40 999 99.0 99.0  4.64 14.29 11.37 302 9999.0 999.0  13.2 999.0 99.0 99.00
2010 01 02 15 10 999 99.0 99.0  4.89 15.38 11.63 301 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 15 40 999 99.0 99.0  4.62 13.33 11.46 301 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 16 10 999 99.0 99.0  4.48 13.33 11.22 301 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 16 40 999 99.0 99.0  4.24 12.50 10.74 299 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 17 10 999 99.0 99.0  4.15 12.50 11.23 299 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 02 17 40 999 99.0 99.0  4.26 13.33 11.02 301 9999.0 999.0  13.1 999.0 99.0 99.00
