#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 23 999 99.0 99.0  1.89 11.11  8.29 314 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 01 00 53 999 99.0 99.0  2.13 10.53  8.51 314 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 01 01 23 999 99.0 99.0  1.87 10.53  8.47 324 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 01 01 53 999 99.0 99.0  1.93 10.53  8.88 310 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 01 02 23 999 99.0 99.0  1.91  9.88  8.62 315 9999.0 999.0  12.0 999.0 99.0 99.00
2011 01 01 02 53 999 99.0 99.0  1.98 11.76  8.85 304 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 01 03 23 999 99.0 99.0  1.87 10.53  8.87 304 9999.0 999.0  12.2 999.0 99.0 99.00
2011 01 01 03 53 999 99.0 99.0  1.88 11.11  8.80 301 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 01 04 23 999 99.0 99.0  1.87 12.50  9.03 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 04 53 999 99.0 99.0  1.94 11.76  9.18 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 05 23 999 99.0 99.0  1.71 10.53  8.86 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 05 53 999 99.0 99.0  1.81 11.11  8.98 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 06 23 999 99.0 99.0  1.74 10.53  8.72 300 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 06 53 999 99.0 99.0  1.80 12.50  8.61 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 07 23 999 99.0 99.0  1.84 11.76  8.40 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 07 53 999 99.0 99.0  1.76 11.11  7.91 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 08 23 999 99.0 99.0  1.80 11.11  7.93 307 9999.0 999.0  12.5 999.0 99.0 99.00
2011 01 01 08 53 999 99.0 99.0  1.74 11.11  7.06 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 09 23 999 99.0 99.0  1.82 11.76  6.96 303 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 09 53 999 99.0 99.0  1.80 11.11  6.70 304 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 10 23 999 99.0 99.0  1.83 11.76  6.42 307 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 10 53 999 99.0 99.0  1.80 11.11  5.79 308 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 11 23 999 99.0 99.0  1.88 11.76  5.63 311 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 11 53 999 99.0 99.0  1.97 11.11  5.66 301 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 12 23 999 99.0 99.0  1.91 11.76  5.34 308 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 12 53 999 99.0 99.0  1.90  5.26  5.32 141 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 01 13 23 999 99.0 99.0  1.96  5.56  5.39 145 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 01 13 53 999 99.0 99.0  2.23  5.88  5.63 147 9999.0 999.0  12.3 999.0 99.0 99.00
2011 01 01 14 23 999 99.0 99.0  2.24  5.88  5.57 134 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 14 53 999 99.0 99.0  2.44  6.25  5.84 141 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 15 23 999 99.0 99.0  2.61  6.67  5.98 137 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 16 23 999 99.0 99.0  2.70  6.67  6.10 134 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 16 53 999 99.0 99.0  3.07  6.67  6.32 138 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 17 23 999 99.0 99.0  2.94  7.14  6.24 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 17 53 999 99.0 99.0  3.35  7.14  6.27 144 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 18 23 999 99.0 99.0  3.11  6.67  6.30 147 9999.0 999.0  12.4 999.0 99.0 99.00
2011 01 01 18 53 999 99.0 99.0  3.02  6.67  6.39 142 9999.0 999.0  12.4 999.0 99.0 99.00
