Dataset {
    Sequence {
        String time;
        Float64 GFF_CHL;
        Float64 urea_uM;
        Float64 ammonium_uM;
        Float64 nitrate_uM;
        Float64 phosphate_uM;
        Float64 silicate_uM;
        Int16 Pn_abundance;
        Float64 Paustralis;
        Float64 Pmultiseries;
        Float64 Alexandrium;
    } CPMT_SCWHARF;
} CPMT2;
---------------------------------------------
CPMT_SCWHARF.time, CPMT_SCWHARF.GFF_CHL, CPMT_SCWHARF.urea_uM, CPMT_SCWHARF.ammonium_uM, CPMT_SCWHARF.nitrate_uM, CPMT_SCWHARF.phosphate_uM, CPMT_SCWHARF.silicate_uM, CPMT_SCWHARF.Pn_abundance, CPMT_SCWHARF.Paustralis, CPMT_SCWHARF.Pmultiseries, CPMT_SCWHARF.Alexandrium
"2005-05-03 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 130.0
"2005-05-10 07:45:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 20.0
"2005-05-17 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 240.0
"2005-05-24 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 2, 0.0, 0.0, 500.0
"2005-05-31 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 3, 230.0, 110.0, 450.0
"2005-06-07 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 4, 250.0, 450.0, 0.0
"2005-06-15 09:45:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 3, 17700.0, 2950.0, 3100.0
"2005-06-22 07:45:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 2, 100.0, 0.0, 6550.0
"2005-06-29 07:45:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 3, 0.0, 0.0, 146.666666666667
"2005-07-06 07:45:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 40.0
"2005-07-13 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 2, 0.0, 0.0, 17386.6666666667
"2005-07-20 08:00:00.0", NaN, NaN, NaN, NaN, NaN, NaN, 0, 0.0, 0.0, 3670.0
