st,filename
36,D20170731T145700_IFCB113
32,D20170731T153836_IFCB113
27,D20170731T163736_IFCB113
22,D20170731T173124_IFCB113
18,D20170731T180731_IFCB113
36,D20170822T140529_IFCB113
32,D20170822T145249_IFCB113
27,D20170822T155531_IFCB113
22,D20170822T170153_IFCB113
18,D20170822T174357_IFCB113
6,D20170822T204004_IFCB113
657,D20170822T222713_IFCB113
36,D20170830T150049_IFCB113
32,D20170830T153811_IFCB113
27,D20170830T164243_IFCB113
22,D20170830T174229_IFCB113
18,D20170830T181623_IFCB113
36,D20170919T140234_IFCB113
32,D20170919T142725_IFCB113
27,D20170919T152658_IFCB113
22,D20170919T163001_IFCB113
18,D20170919T171446_IFCB113
6,D20170919T200313_IFCB113
657,D20170919T214922_IFCB113
36,D20170928T150121_IFCB113
32,D20170928T154222_IFCB113
27,D20170928T164716_IFCB113
22,D20170928T174901_IFCB113
18,D20170928T182517_IFCB113
36,D20171018T140939_IFCB113
32,D20171018T143430_IFCB113
27,D20171018T152919_IFCB113
22,D20171018T163327_IFCB113
18,D20171018T171545_IFCB113
6,D20171018T201344_IFCB113
657,D20171018T215918_IFCB113
36,D20171206T150633_IFCB113
32,D20171206T154509_IFCB113
27,D20171206T164136_IFCB113
22,D20171206T174311_IFCB113
18,D20171206T190135_IFCB113
15,D20171206T192106_IFCB113
13,D20171206T194540_IFCB113
9,D20171206T204007_IFCB113
6,D20171206T212807_IFCB113
3,D20171206T220846_IFCB113
649,D20171206T223512_IFCB113
657,D20171206T231801_IFCB113
